"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","Consensus.Initial","sc3.33","Monocle.33","Seurat.33","Consensus.33","sc3.66","Monocle.66","Seurat.66","Consensus.66","sc3.90","Monocle.90","Seurat.90","Consensus.90","sc3.Final","Monocle.Final","Seurat.Final","Consensus.Final"
"46","SM-GE653_S159_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"47","SM-GE653_S160_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"48","SM-GE653_S161_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"49","SM-GE653_S162_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","SM-GE653_S163_E1-50",24,17,12,11,24,17,12,10,24,17,12,10,24,17,12,10,24,17,12,10
"51","SM-GE653_S164_E1-50",27,2,4,8,27,2,4,7,27,2,4,7,27,2,4,7,26,2,4,5
"52","SM-GE653_S165_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"53","SM-GE653_S166_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"54","SM-GE653_S167_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"55","SM-GE653_S168_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"56","SM-GE653_S169_E1-50",25,15,14,16,25,15,14,15,25,15,14,15,25,15,14,14,25,15,14,15
"57","SM-GE653_S171_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"58","SM-GE653_S172_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59","SM-GE653_S173_E1-50",1,15,8,17,1,15,8,16,1,15,8,17,1,15,8,15,1,15,8,16
"60","SM-GE653_S174_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61","SM-GE653_S175_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62","SM-GE653_S176_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63","SM-GE653_S178_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","SM-GE653_S179_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"65","SM-GE653_S180_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"66","SM-GE653_S181_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"67","SM-GE653_S182_E1-50",2,15,1,-1,2,15,1,-1,2,15,1,-1,2,15,1,-1,1,15,1,1
"68","SM-GE653_S183_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69","SM-GE653_S184_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70","SM-GE653_S185_E1-50",1,7,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71","SM-GE653_S187_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"72","SM-GE653_S188_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"73","SM-GE653_S189_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"74","SM-GE653_S190_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"75","SM-GE653_S191_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76","SM-GE653_S192_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77","SM-GE64R_S097_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"78","SM-GE64R_S098_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"79","SM-GE64R_S099_E1-50",7,18,8,-1,7,18,8,-1,7,18,8,-1,7,18,8,-1,6,18,8,-1
"80","SM-GE64R_S100_E1-50",6,22,2,1,6,22,2,2,6,22,2,2,6,22,2,2,6,22,2,2
"81","SM-GE64R_S101_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"82","SM-GE64R_S102_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"83","SM-GE64R_S103_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"84","SM-GE64R_S104_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"85","SM-GE64R_S105_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"86","SM-GE64R_S106_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"87","SM-GE64R_S107_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"88","SM-GE64R_S108_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"89","SM-GE64R_S109_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"90","SM-GE64R_S110_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"91","SM-GE64R_S111_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"92","SM-GE64R_S112_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"93","SM-GE64R_S113_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"94","SM-GE64R_S114_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"95","SM-GE64R_S115_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"96","SM-GE64R_S116_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"97","SM-GE64R_S117_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"98","SM-GE64R_S118_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"99","SM-GE64R_S119_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"100","SM-GE64R_S120_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"101","SM-GE64R_S121_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"102","SM-GE64R_S122_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"103","SM-GE64R_S123_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"104","SM-GE64R_S124_E1-50",22,3,11,12,22,3,11,11,22,3,11,11,22,3,11,11,22,3,11,11
"105","SM-GE64R_S125_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"106","SM-GE64R_S126_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"107","SM-GE64R_S127_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"108","SM-GE64R_S128_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"109","SM-GE64R_S137_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"110","SM-GE64R_S138_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"111","SM-GE64R_S139_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"112","SM-GE64R_S140_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"113","SM-GE64R_S141_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"114","SM-GE64R_S142_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"115","SM-GE64R_S143_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"116","SM-GE64R_S144_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"117","SM-GE64R_S145_E1-50",22,3,10,10,22,3,10,9,22,3,10,9,22,3,10,9,22,3,10,9
"118","SM-GE64R_S146_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"119","SM-GE64R_S147_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"120","SM-GE64R_S148_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"121","SM-GE64R_S149_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"122","SM-GE64R_S150_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"123","SM-GE64R_S151_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"124","SM-GE64R_S152_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"125","SM-GE64R_S153_E1-50",5,11,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"126","SM-GE64R_S154_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"127","SM-GE64R_S155_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"128","SM-GE64R_S156_E1-50",5,15,8,17,1,15,8,16,1,15,8,17,1,15,8,15,1,15,8,16
"129","SM-GE64R_S157_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"130","SM-GE64R_S158_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"131","SM-GE64R_S159_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"132","SM-GE64R_S160_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"133","SM-GE64R_S161_E1-50",5,11,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"134","SM-GE64R_S162_E1-50",4,11,1,-1,4,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1
"135","SM-GE64R_S163_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"136","SM-GE64R_S164_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"137","SM-GE64R_S165_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"138","SM-GE64R_S166_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"139","SM-GE64R_S167_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"140","SM-GE64R_S168_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"141","SM-GE64R_S170_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"142","SM-GE64R_S171_E1-50",5,11,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"143","SM-GE64R_S173_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"144","SM-GE64R_S174_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"145","SM-GE64R_S175_E1-50",1,15,1,2,1,15,1,1,1,15,1,17,1,15,1,1,1,15,1,1
"146","SM-GE64R_S177_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"147","SM-GE64R_S178_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"148","SM-GE64R_S179_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"149","SM-GE64R_S180_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"150","SM-GE64R_S181_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"151","SM-GE64R_S182_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"152","SM-GE64R_S183_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"153","SM-GE64R_S184_E1-50",23,15,14,-1,23,15,14,-1,23,15,14,-1,23,15,14,-1,23,15,14,-1
"154","SM-GE64R_S185_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"155","SM-GE64R_S186_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"156","SM-GE64R_S187_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"157","SM-GE64R_S188_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"158","SM-GE64R_S189_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"159","SM-GE64R_S190_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"160","SM-GE64R_S191_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"161","SM-GE64R_S192_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
