"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","Consensus.Initial","sc3.33","Monocle.33","Seurat.33","Consensus.33","sc3.66","Monocle.66","Seurat.66","Consensus.66","sc3.90","Monocle.90","Seurat.90","Consensus.90","sc3.Final","Monocle.Final","Seurat.Final","Consensus.Final"
"838","SM-GE64H_S092_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"839","SM-GE64H_S093_E1-50",3,23,8,15,3,23,8,14,3,23,8,14,3,23,8,13,3,23,8,14
"840","SM-GE64H_S095_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"841","SM-GE64H_S096_E1-50",11,20,5,-1,11,20,5,-1,11,20,5,-1,10,4,5,4,10,4,5,4
"842","SM-GE64H_S097_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"843","SM-GE64H_S098_E1-50",9,2,4,-1,9,2,4,-1,9,2,4,-1,8,2,4,-1,8,2,4,-1
"844","SM-GE64H_S100_E1-50",24,17,12,11,24,17,12,10,24,17,12,10,24,17,12,10,24,17,12,10
"845","SM-GE64H_S101_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"846","SM-GE64H_S102_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"847","SM-GE64H_S103_E1-50",26,10,4,-1,26,10,4,-1,26,10,4,-1,26,10,4,-1,26,10,4,5
"848","SM-GE64H_S104_E1-50",27,15,4,8,27,15,4,7,27,15,4,7,27,15,4,7,26,15,4,5
"849","SM-GE64H_S106_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"850","SM-GE64H_S107_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"851","SM-GE64H_S108_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"852","SM-GE64H_S109_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"853","SM-GE64H_S111_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"854","SM-GE64H_S112_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"855","SM-GE64H_S113_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"856","SM-GE64H_S114_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"857","SM-GE64H_S115_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"858","SM-GE64H_S116_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"859","SM-GE64H_S117_E1-50",27,2,4,8,27,2,4,7,27,2,4,7,27,2,4,7,26,2,4,5
"860","SM-GE64H_S118_E1-50",26,10,4,-1,26,10,4,-1,26,10,4,-1,26,10,4,-1,26,10,4,5
"861","SM-GE64H_S120_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"862","SM-GE64H_S129_E1-50",6,2,2,1,6,2,2,2,6,2,2,2,6,2,2,2,6,2,2,2
"863","SM-GE64H_S130_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"864","SM-GE64H_S131_E1-50",14,13,2,-1,14,13,2,-1,14,13,2,-1,14,13,2,-1,6,2,2,2
"865","SM-GE64H_S133_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"866","SM-GE64H_S134_E1-50",27,18,4,8,27,18,4,7,27,18,4,7,27,18,4,7,26,18,4,5
"867","SM-GE64H_S135_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"868","SM-GE64H_S136_E1-50",20,23,8,15,20,23,8,14,20,23,8,14,20,23,8,13,3,23,8,14
"869","SM-GE64H_S137_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"870","SM-GE64H_S138_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"871","SM-GE64H_S139_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"872","SM-GE64H_S140_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"873","SM-GE64H_S141_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"874","SM-GE64H_S142_E1-50",14,9,2,-1,14,9,2,-1,14,9,2,-1,14,9,2,-1,6,9,2,2
"875","SM-GE64H_S143_E1-50",14,13,8,-1,14,13,8,-1,14,13,8,-1,14,13,8,-1,6,2,8,-1
"876","SM-GE64H_S145_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"877","SM-GE64H_S146_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"878","SM-GE64H_S147_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"879","SM-GE64H_S148_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"880","SM-GE64H_S149_E1-50",8,2,2,-1,8,2,2,-1,8,2,2,-1,8,2,2,-1,8,2,2,-1
"881","SM-GE64H_S150_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"882","SM-GE64H_S151_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"883","SM-GE64H_S152_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"884","SM-GE64H_S153_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"885","SM-GE64H_S154_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"886","SM-GE64H_S155_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"887","SM-GE64H_S156_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"888","SM-GE64H_S157_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"889","SM-GE64H_S158_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"890","SM-GE64H_S159_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"891","SM-GE64H_S160_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"892","SM-GE64H_S161_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"893","SM-GE64H_S162_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"894","SM-GE64H_S163_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"895","SM-GE64H_S164_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"896","SM-GE64H_S166_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"897","SM-GE64H_S167_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"898","SM-GE64H_S168_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"899","SM-GE64H_S169_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"900","SM-GE64H_S170_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"901","SM-GE64H_S171_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"902","SM-GE64H_S172_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"903","SM-GE64H_S173_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"904","SM-GE64H_S174_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"905","SM-GE64H_S176_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"906","SM-GE64H_S177_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"907","SM-GE64H_S178_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"908","SM-GE64H_S179_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"909","SM-GE64H_S180_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"910","SM-GE64H_S181_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"911","SM-GE64H_S182_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"912","SM-GE64H_S186_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"913","SM-GE64H_S188_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"914","SM-GE64H_S189_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"915","SM-GE64H_S190_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"916","SM-GE64H_S192_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"917","SM-GE64I_S002_E1-50",24,17,12,11,24,17,12,10,24,17,12,10,24,17,12,10,24,17,12,10
"918","SM-GE64I_S003_E1-50",27,2,4,8,27,2,4,7,27,2,4,7,27,2,4,7,26,2,4,5
"919","SM-GE64I_S004_E1-50",26,2,4,-1,26,2,4,-1,26,2,4,-1,26,2,4,-1,26,2,4,5
"920","SM-GE64I_S006_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"921","SM-GE64I_S007_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"922","SM-GE64I_S008_E1-50",27,2,4,8,27,2,4,7,27,2,4,7,27,2,4,7,26,2,4,5
"923","SM-GE64I_S010_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"924","SM-GE64I_S011_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"925","SM-GE64I_S012_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"926","SM-GE64I_S013_E1-50",24,17,12,11,24,17,12,10,24,17,12,10,24,17,12,10,24,17,12,10
"927","SM-GE64I_S014_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"928","SM-GE64I_S015_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"929","SM-GE64I_S016_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"930","SM-GE64I_S017_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"931","SM-GE64I_S019_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"932","SM-GE64I_S020_E1-50",29,22,6,-1,29,22,6,-1,29,22,6,-1,29,22,6,-1,29,22,6,-1
"933","SM-GE64I_S021_E1-50",28,10,6,4,28,10,6,3,28,10,6,3,28,10,6,5,28,10,6,7
"934","SM-GE64I_S022_E1-50",24,17,12,11,24,17,12,10,24,17,12,10,24,17,12,10,24,17,12,10
"935","SM-GE64I_S023_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"936","SM-GE64I_S024_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"937","SM-GE64I_S025_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"938","SM-GE64I_S026_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"939","SM-GE64I_S027_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"940","SM-GE64I_S028_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"941","SM-GE64I_S029_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"942","SM-GE64I_S030_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"943","SM-GE64I_S031_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"944","SM-GE64I_S032_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"945","SM-GE64I_S041_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"946","SM-GE64I_S042_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"947","SM-GE64I_S043_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"948","SM-GE64I_S044_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"949","SM-GE64I_S045_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"950","SM-GE64I_S046_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"951","SM-GE64I_S047_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"952","SM-GE64I_S048_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"953","SM-GE64I_S049_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"954","SM-GE64I_S050_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"955","SM-GE64I_S051_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"956","SM-GE64I_S052_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"957","SM-GE64I_S053_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"958","SM-GE64I_S054_E1-50",14,12,2,-1,14,9,2,-1,14,9,2,-1,14,9,2,-1,6,9,2,2
"959","SM-GE64I_S055_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"960","SM-GE64I_S056_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"961","SM-GE64I_S057_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"962","SM-GE64I_S058_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"963","SM-GE64I_S059_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"964","SM-GE64I_S060_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"965","SM-GE64I_S061_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"966","SM-GE64I_S062_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"967","SM-GE64I_S064_E1-50",28,10,6,4,28,10,6,3,28,10,6,3,28,10,6,5,28,10,6,7
"968","SM-GE64I_S065_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"969","SM-GE64I_S066_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"970","SM-GE64I_S067_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"971","SM-GE64I_S068_E1-50",28,12,6,4,28,9,6,3,28,9,6,3,28,9,6,5,28,9,6,7
"972","SM-GE64I_S069_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"973","SM-GE64I_S070_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"974","SM-GE64I_S072_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"975","SM-GE64I_S073_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"976","SM-GE64I_S074_E1-50",18,14,13,14,18,14,13,13,18,14,13,13,18,14,13,12,18,14,13,12
"977","SM-GE64I_S075_E1-50",25,21,14,16,25,21,14,15,25,21,14,15,25,21,14,14,25,21,14,15
"978","SM-GE64I_S077_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"979","SM-GE64I_S078_E1-50",4,1,1,-1,4,1,1,-1,4,1,1,1,1,1,1,1,1,1,1,1
"980","SM-GE64I_S079_E1-50",5,7,1,3,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"981","SM-GE64I_S080_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"982","SM-GE64I_S081_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"983","SM-GE64I_S082_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"984","SM-GE64I_S083_E1-50",28,18,6,4,28,18,6,3,28,18,6,3,28,18,6,5,28,18,6,7
"985","SM-GE64I_S084_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"986","SM-GE64I_S085_E1-50",2,15,1,-1,2,15,1,-1,2,15,1,-1,2,15,1,-1,1,15,1,1
"987","SM-GE64I_S086_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"988","SM-GE64I_S087_E1-50",20,23,8,15,20,23,8,14,20,23,8,14,20,23,8,13,3,23,8,14
"989","SM-GE64I_S088_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"990","SM-GE64I_S089_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"991","SM-GE64I_S093_E1-50",1,11,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"992","SM-GE64I_S096_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"993","SM-GE64I_S097_E1-50",27,2,4,8,27,2,4,7,27,2,4,7,27,2,4,7,26,2,4,5
"994","SM-GE64I_S098_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"995","SM-GE64I_S099_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"996","SM-GE64I_S100_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"997","SM-GE64I_S102_E1-50",16,20,7,-1,16,20,7,-1,16,20,7,-1,16,4,7,-1,16,4,7,6
"998","SM-GE64I_S103_E1-50",26,10,4,-1,26,10,4,-1,26,10,4,-1,26,10,4,-1,26,10,4,5
"999","SM-GE64I_S104_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"1000","SM-GE64I_S105_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1001","SM-GE64I_S106_E1-50",20,23,8,15,20,23,8,14,20,23,8,14,20,23,8,13,3,23,8,14
"1002","SM-GE64I_S108_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1003","SM-GE64I_S109_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"1004","SM-GE64I_S110_E1-50",28,10,6,4,28,10,6,3,28,10,6,3,28,10,6,5,28,10,6,7
"1005","SM-GE64I_S111_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"1006","SM-GE64I_S113_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"1007","SM-GE64I_S116_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"1008","SM-GE64I_S117_E1-50",27,10,4,8,27,10,4,7,27,10,4,7,27,10,4,7,26,10,4,5
"1009","SM-GE64I_S118_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"1010","SM-GE64I_S119_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"1011","SM-GE64I_S120_E1-50",28,2,4,-1,28,2,4,-1,28,2,4,-1,28,2,4,-1,28,2,4,-1
"1012","SM-GE64I_S121_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"1013","SM-GE64I_S122_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1014","SM-GE64I_S123_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"1015","SM-GE64I_S124_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"1016","SM-GE64I_S125_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"1017","SM-GE64I_S126_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1018","SM-GE64I_S127_E1-50",9,13,3,13,9,13,3,12,9,13,3,12,8,13,3,3,8,2,3,3
"1019","SM-GE64I_S128_E1-50",13,16,11,-1,13,16,11,-1,13,16,11,-1,13,16,11,-1,12,16,11,8
"1020","SM-GE64I_S130_E1-50",6,18,2,1,6,18,2,2,6,18,2,2,6,18,2,2,6,18,2,2
"1021","SM-GE64I_S131_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1022","SM-GE64I_S132_E1-50",6,2,3,7,6,2,3,6,6,2,3,6,6,2,3,-1,6,2,3,3
"1023","SM-GE64I_S133_E1-50",6,9,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"1024","SM-GE64I_S134_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1025","SM-GE64I_S135_E1-50",6,12,2,1,6,9,2,2,6,9,2,2,6,9,2,2,6,9,2,2
"1026","SM-GE64I_S136_E1-50",17,20,7,5,17,20,7,4,17,20,7,4,17,4,7,6,16,4,7,6
"1027","SM-GE64I_S145_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"1028","SM-GE64I_S146_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"1029","SM-GE64I_S147_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"1030","SM-GE64I_S148_E1-50",10,4,5,6,10,4,5,5,10,4,5,5,10,4,5,4,10,4,5,4
"1031","SM-GE64I_S149_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"1032","SM-GE64I_S150_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"1033","SM-GE64I_S151_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1034","SM-GE64I_S152_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"1035","SM-GE64I_S153_E1-50",9,2,3,7,9,2,3,6,9,2,3,6,8,2,3,3,8,2,3,3
"1036","SM-GE64I_S154_E1-50",19,3,11,-1,19,3,11,-1,19,3,11,-1,19,3,11,-1,19,3,11,-1
"1037","SM-GE64I_S155_E1-50",19,16,10,-1,19,16,10,-1,19,16,10,-1,19,16,10,-1,19,16,10,-1
"1038","SM-GE64I_S156_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1039","SM-GE64I_S157_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"1040","SM-GE64I_S158_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1041","SM-GE64I_S159_E1-50",8,13,3,13,8,13,3,12,8,13,3,12,8,13,3,3,8,2,3,3
"1042","SM-GE64I_S160_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"1043","SM-GE64I_S161_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"1044","SM-GE64I_S162_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1045","SM-GE64I_S163_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"1046","SM-GE64I_S164_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"1047","SM-GE64I_S165_E1-50",6,18,2,1,6,18,2,2,6,18,2,2,6,18,2,2,6,18,2,2
"1048","SM-GE64I_S166_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1049","SM-GE64I_S167_E1-50",8,2,3,7,8,2,3,6,8,2,3,6,8,2,3,3,8,2,3,3
"1050","SM-GE64I_S168_E1-50",10,20,5,6,10,20,5,5,10,20,5,5,10,4,5,4,10,4,5,4
"1051","SM-GE64I_S169_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"1052","SM-GE64I_S171_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1053","SM-GE64I_S173_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1054","SM-GE64I_S174_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"1055","SM-GE64I_S175_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1056","SM-GE64I_S176_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1057","SM-GE64I_S177_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1058","SM-GE64I_S178_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1059","SM-GE64I_S179_E1-50",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1060","SM-GE64I_S180_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"1061","SM-GE64I_S181_E1-50",5,15,8,17,1,15,8,16,1,15,8,17,1,15,8,15,1,15,8,16
"1062","SM-GE64I_S182_E1-50",12,16,9,9,12,16,9,8,12,16,9,8,12,16,9,8,12,16,9,8
"1063","SM-GE64I_S183_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1064","SM-GE64I_S184_E1-50",17,19,7,5,17,19,7,4,17,19,7,4,17,19,7,6,16,19,7,6
"1065","SM-GE64I_S186_E1-50",28,22,6,4,28,22,6,3,28,22,6,3,28,22,6,5,28,22,6,7
"1066","SM-GE64I_S187_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1067","SM-GE64I_S188_E1-50",5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1068","SM-GE64I_S189_E1-50",19,3,10,10,19,3,10,9,19,3,10,9,19,3,10,9,19,3,10,9
"1069","SM-GE64I_S190_E1-50",17,20,7,5,17,20,7,4,17,20,7,4,17,4,7,6,16,4,7,6
