cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_A1_cell62,19,28,4,108,19,28,4,107,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_A1_cell294,62,8,10,15,12,15,3,36,1,15,3,52,1,15,3,55,39,8,10,52
Evan_MC_A1_cell613,12,15,3,142,49,10,6,2,49,10,6,2,49,6,6,1,1,15,3,50
Evan_MC_A1_cell751,24,17,5,85,14,20,1,-1,14,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_A1_cell767,6,20,1,16,49,13,6,2,49,13,6,2,49,13,6,1,4,14,1,4
Evan_MC_A1_cell1060,62,8,10,15,49,19,6,2,49,19,6,2,49,6,6,1,39,8,10,52
Evan_MC_A1_cell1071,33,21,9,-1,31,24,7,1,31,4,7,1,31,4,7,2,33,21,9,6
Evan_MC_A1_cell1296,27,1,5,13,49,19,6,2,49,19,6,2,49,6,6,1,20,1,5,20
Evan_MC_A1_cell1318,73,13,8,54,49,19,6,2,49,19,6,2,49,6,6,1,73,13,8,30
Evan_MC_A1_cell1413,12,15,3,142,14,14,1,-1,14,14,1,3,4,14,1,5,1,15,3,50
Evan_MC_A1_cell1641,31,22,12,20,24,17,5,9,24,17,5,9,24,17,5,10,10,22,12,17
Evan_MC_A1_cell1864,49,3,7,14,79,9,2,34,79,9,2,33,79,9,2,38,16,3,7,19
Evan_MC_A1_cell1922,49,11,2,55,6,14,1,73,5,14,1,3,4,14,1,5,16,9,2,46
Evan_MC_A1_cell2463,12,15,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell2611,24,17,5,85,12,15,3,36,1,15,3,52,1,15,3,55,20,1,5,20
Evan_MC_A1_cell2745,53,6,6,-1,49,3,26,-1,49,3,26,-1,49,3,6,1,53,6,6,45
Evan_MC_A1_cell3153,49,19,6,2,49,19,6,2,49,19,6,2,49,6,6,1,16,6,6,45
Evan_MC_A1_cell3255,69,29,17,-1,52,7,14,52,52,7,14,51,52,7,14,47,50,29,17,-1
Evan_MC_A1_cell3267,49,19,6,2,79,9,2,34,79,9,2,33,79,9,2,38,16,6,6,45
Evan_MC_A1_cell3401,64,29,17,-1,79,9,2,34,79,9,2,33,79,9,2,38,64,29,17,-1
Evan_MC_A1_cell3437,52,7,14,52,12,15,3,36,1,15,3,52,1,15,3,55,52,7,14,40
Evan_MC_A1_cell3480,21,16,11,4,49,10,6,2,49,10,6,2,49,6,6,1,21,16,11,14
Evan_MC_A1_cell3501,12,15,3,142,31,21,7,1,31,21,7,1,31,21,7,2,1,15,3,50
Evan_MC_A1_cell3699,20,1,5,13,73,13,8,64,73,13,8,63,73,13,8,53,20,1,5,20
Evan_MC_A1_cell3712,2,26,3,-1,18,2,4,90,17,2,4,81,17,2,4,67,1,15,3,50
Evan_MC_A1_cell3721,58,18,11,-1,65,12,20,-1,65,12,20,-1,65,12,20,-1,21,16,11,14
Evan_MC_A1_cell3820,68,31,13,19,63,22,12,17,63,22,12,18,63,22,12,19,68,31,13,11
Evan_MC_A1_cell3945,79,34,2,60,24,17,5,9,24,17,5,9,24,17,5,10,51,9,2,46
Evan_MC_A1_cell3954,80,17,1,-1,5,35,1,57,5,14,1,3,4,14,1,5,51,1,1,-1
Evan_MC_A1_cell4076,19,28,4,108,49,19,6,2,49,19,6,2,49,6,6,1,17,4,4,53
Evan_MC_A1_cell4174,4,30,9,9,53,19,6,-1,53,19,6,-1,53,6,6,-1,4,21,9,6
Evan_MC_A1_cell4424,49,19,6,2,73,13,8,64,73,13,8,63,73,13,8,53,16,6,6,45
Evan_MC_A1_cell4785,79,11,2,55,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_A1_cell4802,53,18,11,-1,49,19,10,-1,49,19,10,-1,49,6,10,-1,53,16,11,14
Evan_MC_A1_cell4952,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_A1_cell5158,24,17,5,85,31,3,7,1,31,3,7,1,31,3,7,2,20,1,5,20
Evan_MC_A1_cell5256,62,8,10,15,49,3,6,2,49,3,6,2,49,3,6,1,39,8,10,52
Evan_MC_A1_cell5501,12,26,3,142,21,16,11,5,21,16,11,6,21,16,11,4,1,15,3,50
Evan_MC_A1_cell5614,53,30,9,9,65,8,10,12,65,8,10,7,65,8,10,13,53,21,9,6
Evan_MC_A1_cell5660,63,22,12,20,49,3,6,2,49,3,6,2,49,3,6,1,63,22,12,17
Evan_MC_A1_cell6280,75,25,16,-1,64,29,17,-1,64,29,17,-1,64,29,17,-1,75,25,16,-1
Evan_MC_A1_cell6326,57,30,9,9,31,3,7,1,31,3,7,1,31,3,7,2,57,21,9,6
Evan_MC_A1_cell6618,79,34,2,60,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_A1_cell6860,68,31,13,19,73,13,8,64,73,13,8,63,73,13,8,53,68,31,13,11
Evan_MC_A1_cell6891,50,32,24,-1,54,30,18,32,54,30,18,31,54,30,18,28,50,32,24,-1
Evan_MC_A1_cell6912,5,35,1,10,70,32,22,-1,70,32,22,-1,70,32,22,-1,4,14,1,4
Evan_MC_A1_cell7021,52,7,14,52,73,13,8,64,73,13,8,63,73,13,8,53,52,7,14,40
Evan_MC_A1_cell7149,68,31,13,19,20,17,7,-1,20,17,7,-1,20,17,7,-1,68,31,13,11
Evan_MC_A1_cell7202,49,10,6,2,19,28,4,107,17,4,4,81,17,4,4,67,16,6,6,45
Evan_MC_A1_cell7217,75,25,16,-1,19,24,4,107,17,4,4,81,17,4,4,67,75,25,16,-1
Evan_MC_A1_cell7961,63,22,12,20,63,22,12,17,63,22,12,18,63,22,12,19,63,22,12,17
Evan_MC_A1_cell7963,62,8,10,15,49,32,22,-1,49,32,22,-1,49,32,22,-1,39,8,10,52
Evan_MC_A1_cell7992,63,22,12,20,24,17,5,9,24,17,5,9,24,17,5,10,63,22,12,17
Evan_MC_A1_cell8034,68,31,13,19,37,3,7,-1,37,3,7,-1,37,3,7,-1,68,31,13,11
Evan_MC_A1_cell8128,73,13,8,54,49,36,22,-1,49,36,22,-1,49,36,22,-1,73,13,8,30
Evan_MC_A1_cell8543,68,31,13,19,12,15,3,36,1,15,3,52,1,15,3,55,68,31,13,11
Evan_MC_A1_cell8643,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_A1_cell8746,20,1,5,13,62,8,10,12,62,8,10,7,39,8,10,13,20,1,5,20
Evan_MC_A1_cell8878,24,1,5,85,49,9,6,2,49,9,6,2,49,9,6,1,20,1,5,20
Evan_MC_A1_cell8911,62,8,10,15,49,19,6,2,49,19,6,2,49,6,6,1,39,8,10,52
Evan_MC_A1_cell8919,5,35,1,10,5,20,1,57,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_A1_cell9244,58,18,11,-1,12,15,3,36,1,15,3,52,1,15,3,55,21,16,11,14
Evan_MC_A1_cell9863,58,16,11,4,58,16,11,5,58,16,11,6,58,16,11,4,21,16,11,14
Evan_MC_A1_cell9938,18,24,4,67,53,30,9,11,53,30,9,17,53,30,9,18,17,4,4,53
Evan_MC_A1_cell9957,14,14,1,24,79,9,2,34,79,9,2,33,79,9,2,38,4,14,1,4
Evan_MC_A1_cell10095,73,13,8,54,19,31,1,-1,17,31,1,-1,17,31,1,-1,73,13,8,30
Evan_MC_A1_cell10101,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_A1_cell10199,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_A1_cell10282,80,9,2,-1,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_A1_cell10456,19,4,4,108,71,32,19,-1,71,32,19,-1,71,32,19,-1,17,4,4,53
Evan_MC_A1_cell10774,53,6,6,-1,20,1,5,105,20,1,5,98,20,1,5,87,53,6,6,45
Evan_MC_A1_cell10831,17,4,4,56,19,28,4,107,17,4,4,81,17,4,4,67,17,4,4,53
Evan_MC_A1_cell11233,78,20,1,16,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_A1_cell11419,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell11587,18,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_A1_cell12608,5,20,1,16,79,9,29,34,79,9,29,33,79,9,29,38,4,14,1,4
Evan_MC_A1_cell12821,73,13,8,54,65,8,10,12,65,8,10,7,65,8,10,13,73,13,8,30
Evan_MC_A1_cell13108,56,7,14,52,57,33,15,16,57,33,15,20,57,33,15,23,52,7,14,40
Evan_MC_A1_cell13309,12,26,3,142,20,1,5,105,20,1,5,98,20,1,5,87,1,15,3,50
Evan_MC_A1_cell13458,20,21,9,-1,19,28,4,107,17,4,4,81,17,4,4,67,20,21,9,6
Evan_MC_A1_cell13710,56,7,14,52,4,30,9,11,4,30,9,17,4,30,9,18,52,7,14,40
Evan_MC_A1_cell14222,6,14,1,24,62,8,10,12,62,8,10,7,39,8,10,13,4,14,1,4
Evan_MC_A1_cell14840,73,13,8,54,19,28,4,107,17,4,4,81,17,4,4,67,73,13,8,30
Evan_MC_A1_cell15128,24,17,5,85,58,16,11,5,58,16,11,6,58,16,11,4,20,1,5,20
Evan_MC_A1_cell15183,26,24,4,67,68,31,13,15,68,31,13,11,68,31,13,12,17,4,4,53
Evan_MC_A1_cell15790,4,30,9,9,12,15,3,36,1,15,3,52,1,15,3,55,4,21,9,6
Evan_MC_A1_cell15801,12,26,3,142,58,16,11,5,58,16,11,6,58,16,11,4,1,15,3,50
Evan_MC_A1_cell16028,49,6,6,-1,69,32,19,-1,69,32,19,-1,69,32,19,-1,16,6,6,45
Evan_MC_A1_cell16191,30,17,5,-1,20,17,5,9,20,17,5,9,20,17,5,10,20,1,5,20
Evan_MC_A1_cell16328,53,30,9,9,12,15,3,36,1,15,3,52,1,15,3,55,53,21,9,6
Evan_MC_A1_cell16417,49,3,6,14,57,33,15,16,57,33,15,20,57,33,15,23,16,3,6,19
Evan_MC_A1_cell16450,57,33,15,18,49,8,6,2,49,8,6,2,49,8,6,1,57,33,15,13
Evan_MC_A1_cell16639,78,27,1,27,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_A1_cell16705,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell16757,79,11,2,55,6,20,1,73,5,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_A1_cell16833,49,32,22,-1,49,19,33,-1,49,19,33,-1,49,6,33,-1,16,32,22,-1
Evan_MC_A1_cell16873,1,26,3,-1,75,25,16,-1,75,25,16,-1,75,25,16,-1,1,15,3,50
Evan_MC_A1_cell17090,26,28,4,-1,49,31,6,2,49,31,6,2,49,31,6,1,17,4,4,53
Evan_MC_A1_cell17166,49,3,7,14,6,35,1,73,5,14,1,3,4,14,1,5,16,3,7,19
Evan_MC_A1_cell17187,49,10,6,2,19,27,7,-1,17,14,7,-1,17,14,7,-1,16,6,6,45
Evan_MC_A1_cell17195,26,17,5,-1,49,10,6,2,49,10,6,2,49,6,6,1,17,1,5,20
Evan_MC_A1_cell17638,57,33,15,18,49,19,6,2,49,19,6,2,49,6,6,1,57,33,15,13
Evan_MC_A1_cell17660,4,35,1,10,5,35,1,57,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_A1_cell18145,79,9,2,60,12,15,3,36,1,15,3,52,1,15,3,55,51,9,2,46
Evan_MC_A1_cell18519,4,14,1,24,54,30,18,32,54,30,18,31,54,30,18,28,4,14,1,4
Evan_MC_A1_cell18616,6,35,1,10,24,17,5,9,24,17,5,9,24,17,5,10,4,14,1,4
Evan_MC_A1_cell18818,12,15,3,142,24,17,5,9,24,17,5,9,24,17,5,10,1,15,3,50
Evan_MC_A1_cell18956,49,6,6,-1,49,3,7,-1,49,3,7,-1,49,3,7,-1,16,6,6,45
Evan_MC_A1_cell19077,52,7,14,52,53,6,6,-1,53,6,6,-1,53,6,6,-1,52,7,14,40
Evan_MC_A1_cell19096,18,24,4,67,57,33,15,16,57,33,15,20,57,33,15,23,17,4,4,53
Evan_MC_A1_cell19489,19,24,4,108,53,30,9,11,53,30,9,17,53,30,9,18,17,4,4,53
Evan_MC_A1_cell20280,79,9,2,60,49,6,6,2,49,6,6,2,49,6,6,1,51,9,2,46
Evan_MC_A1_cell20412,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell20606,63,22,12,20,26,17,5,9,17,17,5,9,17,17,5,10,63,22,12,17
Evan_MC_A1_cell20732,17,4,4,56,12,15,3,36,1,15,3,52,1,15,3,55,17,4,4,53
Evan_MC_A1_cell21196,73,13,8,54,49,19,6,2,49,19,6,2,49,6,6,1,73,13,8,30
Evan_MC_A1_cell21268,58,1,18,-1,53,19,25,-1,53,19,25,-1,53,6,6,-1,21,1,18,-1
Evan_MC_A1_cell21715,49,3,6,14,49,19,32,-1,49,19,32,-1,49,6,32,-1,16,3,6,19
Evan_MC_A1_cell21735,12,26,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell22498,19,28,4,108,75,13,8,64,75,13,8,63,75,13,8,53,17,4,4,53
Evan_MC_A1_cell22708,20,1,18,-1,49,8,25,-1,49,8,25,-1,49,8,6,1,20,1,18,-1
Evan_MC_A1_cell22811,25,24,4,67,31,3,7,1,31,3,7,1,31,3,7,2,20,4,4,53
Evan_MC_A1_cell22853,12,26,3,142,75,13,8,64,75,13,8,63,75,13,8,53,1,15,3,50
Evan_MC_A1_cell23326,20,1,5,13,6,35,1,73,5,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_A1_cell23382,65,29,17,-1,67,29,17,-1,67,29,17,-1,67,29,17,-1,65,29,17,-1
Evan_MC_A1_cell23491,79,9,2,60,53,13,21,-1,53,13,21,-1,53,13,21,-1,51,9,2,46
Evan_MC_A1_cell23492,49,6,6,-1,20,1,5,105,20,1,5,98,20,1,5,87,16,6,6,45
Evan_MC_A1_cell23539,2,15,3,-1,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_A1_cell23648,25,24,4,67,72,36,21,-1,72,36,21,-1,72,36,21,-1,20,4,4,53
Evan_MC_A1_cell23654,49,19,6,2,6,14,1,73,5,14,1,3,4,14,1,5,16,6,6,45
Evan_MC_A1_cell23879,73,13,8,54,49,19,6,2,49,19,6,2,49,6,6,1,73,13,8,30
Evan_MC_A1_cell24084,73,13,8,54,6,14,1,73,5,14,1,3,4,14,1,5,73,13,8,30
Evan_MC_A1_cell24088,63,22,12,20,6,35,1,73,5,14,1,3,4,14,1,5,63,22,12,17
Evan_MC_A1_cell24732,73,13,8,54,52,7,14,52,52,7,14,51,52,7,14,47,73,13,8,30
Evan_MC_A1_cell24885,20,1,5,13,25,24,4,-1,25,4,4,-1,25,4,4,-1,20,1,5,20
Evan_MC_A1_cell25141,1,26,3,-1,6,35,1,73,5,14,1,3,4,14,1,5,1,15,3,50
Evan_MC_A1_cell25250,65,12,20,-1,79,9,2,34,79,9,2,33,79,9,2,38,65,12,20,-1
Evan_MC_A1_cell25488,6,20,1,16,4,30,9,11,4,30,9,17,4,30,9,18,4,14,1,4
Evan_MC_A1_cell25688,17,24,4,67,21,16,11,5,21,16,11,6,21,16,11,4,17,4,4,53
Evan_MC_A1_cell25755,17,4,4,56,49,19,7,-1,49,19,7,-1,49,6,7,-1,17,4,4,53
Evan_MC_A1_cell25967,78,27,1,27,31,3,7,1,31,3,7,1,31,3,7,2,4,14,1,4
Evan_MC_A1_cell26055,73,3,8,54,62,8,10,12,62,8,10,7,39,8,10,13,73,3,8,30
Evan_MC_A1_cell26113,12,15,3,142,40,8,10,12,40,8,10,7,39,8,10,13,1,15,3,50
Evan_MC_A1_cell26227,7,14,18,-1,31,19,7,1,31,19,7,1,31,6,7,2,7,14,18,-1
Evan_MC_A1_cell26463,79,11,2,55,49,19,6,2,49,19,6,2,49,6,6,1,51,9,2,46
Evan_MC_A1_cell26494,53,30,9,9,49,10,32,-1,49,10,32,-1,49,6,32,-1,53,21,9,6
Evan_MC_A1_cell26619,12,15,3,142,64,29,17,-1,64,29,17,-1,64,29,17,-1,1,15,3,50
Evan_MC_A1_cell26962,78,27,1,27,52,7,14,52,52,7,14,51,52,7,14,47,4,14,1,4
Evan_MC_A1_cell27059,78,20,1,16,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
Evan_MC_A1_cell27128,73,13,8,54,12,15,3,36,1,15,3,52,1,15,3,55,73,13,8,30
Evan_MC_A1_cell27390,79,9,2,60,63,22,12,17,63,22,12,18,63,22,12,19,51,9,2,46
Evan_MC_A1_cell27406,49,19,26,-1,49,19,33,-1,49,19,33,-1,49,6,33,-1,16,6,6,45
Evan_MC_A1_cell27637,68,31,13,19,58,30,9,11,58,30,9,17,58,30,9,18,68,31,13,11
Evan_MC_A1_cell27641,24,17,5,85,31,3,7,1,31,3,7,1,31,3,7,2,20,1,5,20
Evan_MC_A1_cell28066,79,9,2,60,49,3,6,2,49,3,6,2,49,3,6,1,51,9,2,46
Evan_MC_A1_cell28280,73,13,8,54,12,15,3,36,1,15,3,52,1,15,3,55,73,13,8,30
Evan_MC_A1_cell28328,79,9,2,60,4,30,9,11,4,30,9,17,4,30,9,18,51,9,2,46
Evan_MC_A1_cell28543,18,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_A1_cell28544,72,36,28,-1,79,9,2,34,79,9,2,33,79,9,2,38,72,36,21,-1
Evan_MC_A1_cell28591,20,1,5,13,6,14,1,73,5,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_A1_cell28980,73,13,8,54,20,16,11,5,20,16,11,6,20,16,11,4,73,13,8,30
Evan_MC_A1_cell29120,6,14,1,24,62,8,10,12,62,8,10,7,39,8,10,13,4,14,1,4
Evan_MC_A1_cell29293,54,30,9,9,37,3,7,-1,37,3,7,-1,37,3,7,-1,53,21,9,6
Evan_MC_A1_cell29338,18,24,4,67,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_A1_cell29632,79,9,2,60,58,18,11,-1,58,18,11,-1,58,18,11,-1,51,9,2,46
Evan_MC_A1_cell29775,63,22,12,20,19,28,4,107,17,4,4,81,17,4,4,67,63,22,12,17
Evan_MC_A1_cell29798,57,33,15,18,63,22,12,17,63,22,12,18,63,22,12,19,57,33,15,13
Evan_MC_A1_cell30605,69,32,19,-1,79,9,2,34,79,9,2,33,79,9,2,38,50,32,19,-1
Evan_MC_A1_cell31041,19,27,18,-1,73,13,8,64,73,13,8,63,73,13,8,53,17,14,18,-1
Evan_MC_A1_cell31239,26,28,4,-1,5,20,1,57,5,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_A1_cell31258,56,7,14,52,31,3,7,1,31,3,7,1,31,3,7,2,52,7,14,40
Evan_MC_A1_cell31328,18,4,4,56,79,9,2,34,79,9,2,33,79,9,2,38,17,4,4,53
Evan_MC_A1_cell31336,24,17,5,85,65,8,10,12,65,8,10,7,65,8,10,13,20,1,5,20
Evan_MC_A1_cell31523,19,4,4,108,49,3,6,2,49,3,6,2,49,3,6,1,17,4,4,53
Evan_MC_A1_cell31747,20,17,5,-1,73,13,8,64,73,13,8,63,73,13,8,53,20,1,5,20
Evan_MC_A1_cell31994,14,20,1,16,49,3,6,2,49,3,6,2,49,3,6,1,4,14,1,4
Evan_MC_A1_cell32810,68,31,13,19,78,27,1,4,78,14,1,3,4,14,1,5,68,31,13,11
Evan_MC_A1_cell32947,12,26,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_A1_cell33765,12,15,3,142,57,33,15,16,57,33,15,20,57,33,15,23,1,15,3,50
Evan_MC_A1_cell33862,63,31,13,19,21,16,11,5,21,16,11,6,21,16,11,4,63,31,13,11
Evan_MC_A1_cell33894,78,27,30,27,54,30,9,32,54,30,9,31,54,30,9,28,4,14,30,4
Evan_MC_A1_cell33904,73,13,8,54,79,9,2,34,79,9,2,33,79,9,2,38,73,13,8,30
Evan_MC_A1_cell34105,52,7,14,52,12,15,3,36,1,15,3,52,1,15,3,55,52,7,14,40
Evan_MC_A1_cell34771,64,29,17,-1,6,35,1,73,5,14,1,3,4,14,1,5,64,29,17,-1
Evan_MC_A1_cell34780,62,8,10,15,6,14,1,73,5,14,1,3,4,14,1,5,39,8,10,52
Evan_MC_A1_cell34897,68,31,13,19,24,17,5,9,24,17,5,9,24,17,5,10,68,31,13,11
Evan_MC_A1_cell35055,73,13,8,54,63,22,12,17,63,22,12,18,63,22,12,19,73,13,8,30
Evan_MC_A1_cell35311,25,17,5,-1,78,27,1,4,78,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_A1_cell35359,69,32,19,-1,25,17,5,9,25,17,5,9,25,17,5,10,50,32,19,-1
Evan_MC_A1_cell35747,80,34,23,-1,18,24,4,90,17,4,4,81,17,4,4,67,51,9,2,46
Evan_MC_A1_cell35807,23,15,3,-1,49,3,6,2,49,3,6,2,49,3,6,1,1,15,3,50
Evan_MC_A1_cell35855,79,11,2,55,49,19,32,-1,49,19,32,-1,49,6,32,-1,51,9,2,46
Evan_MC_A1_cell36176,58,18,11,-1,49,6,6,2,49,6,6,2,49,6,6,1,21,16,11,14
Evan_MC_A1_cell36217,21,16,11,4,49,19,29,-1,49,19,29,-1,49,6,29,-1,21,16,11,14
Evan_MC_A1_cell36292,49,19,6,2,77,25,16,-1,77,25,16,-1,77,25,16,-1,16,6,6,45
Evan_MC_A1_cell36394,12,14,1,24,79,27,1,4,79,14,1,3,79,14,1,5,1,14,1,-1
Evan_MC_A1_cell36424,39,19,10,-1,31,3,6,-1,31,3,6,-1,31,3,6,-1,39,6,10,52
Evan_MC_A1_cell36516,62,8,10,15,20,18,11,-1,20,18,11,-1,20,18,11,-1,39,8,10,52
Evan_MC_A1_cell36623,54,30,3,-1,54,30,11,32,54,30,11,31,54,30,11,28,53,21,3,-1
Evan_MC_A1_cell36705,12,26,3,142,63,22,12,17,63,22,12,18,63,22,12,19,1,15,3,50
Evan_MC_A1_cell37142,49,6,6,-1,73,13,8,64,73,13,8,63,73,13,8,53,16,6,6,45
Evan_MC_A1_cell37308,80,11,2,55,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_A1_cell37473,73,13,8,54,53,3,6,-1,53,3,6,-1,53,3,6,-1,73,13,8,30
Evan_MC_A1_cell37535,6,35,1,10,79,9,23,34,79,9,23,33,79,9,2,38,4,14,1,4
Evan_MC_A1_cell38158,19,24,4,108,4,14,1,-1,4,14,1,3,4,14,1,5,17,4,4,53
Evan_MC_A1_cell38333,79,34,2,60,17,4,4,72,17,4,4,81,17,4,4,67,51,9,2,46
Evan_MC_A1_cell38447,73,13,8,54,49,3,7,-1,49,3,7,-1,49,3,7,-1,73,13,8,30
Evan_MC_A1_cell39016,79,11,2,55,78,27,1,4,78,14,1,3,4,14,1,5,51,9,2,46
Evan_MC_A1_cell39127,12,26,3,142,19,2,27,-1,17,2,27,-1,17,2,27,-1,1,15,3,50
Evan_MC_A1_cell39349,57,33,15,18,20,1,5,105,20,1,5,98,20,1,5,87,57,33,15,13
Evan_MC_A1_cell39839,53,30,9,9,19,24,4,107,17,4,4,81,17,4,4,67,53,21,9,6
Evan_MC_A1_cell39898,54,18,11,-1,18,24,4,90,17,4,4,81,17,4,4,67,53,16,11,14
Evan_MC_A1_cell40019,62,8,10,15,73,13,8,64,73,13,8,63,73,13,8,53,39,8,10,52
Evan_MC_A1_cell40164,12,15,3,142,6,14,1,73,5,14,1,3,4,14,1,5,1,15,3,50
Evan_MC_A1_cell40303,12,15,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell40736,12,15,3,142,12,15,3,36,1,15,3,52,1,15,3,55,1,15,3,50
Evan_MC_A1_cell40782,24,17,5,85,18,24,4,90,17,4,4,81,17,4,4,67,20,1,5,20
Evan_MC_A1_cell40884,63,22,12,20,49,19,6,2,49,19,6,2,49,6,6,1,63,22,12,17
Evan_MC_A1_cell40938,54,24,1,-1,31,24,7,1,31,4,7,1,31,4,7,2,53,4,1,-1
Evan_MC_A1_cell40971,79,11,2,55,79,9,2,34,79,9,2,33,79,9,2,38,51,9,2,46
Evan_MC_A1_cell41773,78,21,9,-1,19,28,4,107,17,4,4,81,17,4,4,67,4,21,9,6
Evan_MC_A1_cell42119,79,11,2,55,73,13,8,64,73,13,8,63,73,13,8,53,51,9,2,46
Evan_MC_A1_cell42565,12,26,3,142,53,19,33,-1,53,19,33,-1,53,6,33,-1,1,15,3,50
Evan_MC_A1_cell43971,24,17,5,85,79,9,2,34,79,9,2,33,79,9,2,38,20,1,5,20
Evan_MC_A1_cell44038,5,27,1,-1,57,33,15,16,57,33,15,20,57,33,15,23,4,14,1,4
Evan_MC_A1_cell44182,6,14,1,24,79,9,2,34,79,9,2,33,79,9,2,38,4,14,1,4
Evan_MC_A1_cell44203,79,34,2,60,49,8,10,12,49,8,10,7,49,8,10,13,51,9,2,46
Evan_MC_A1_cell44432,49,6,7,-1,52,7,14,52,52,7,14,51,52,7,14,47,16,6,7,-1
Evan_MC_A1_cell44440,49,3,6,14,12,15,3,36,1,15,3,52,1,15,3,55,16,3,6,19
Evan_MC_A1_cell44892,12,15,3,142,68,31,13,15,68,31,13,11,68,31,13,12,1,15,3,50
Evan_MC_A1_cell45303,20,17,5,-1,6,14,1,73,5,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_A1_cell45527,75,25,16,-1,69,32,19,-1,69,32,19,-1,69,32,19,-1,75,25,16,-1
Evan_MC_A1_cell45583,49,23,6,2,31,3,7,1,31,3,7,1,31,3,7,2,16,23,6,-1
Evan_MC_A1_cell45965,2,15,3,-1,78,20,20,-1,78,14,20,-1,4,14,20,-1,1,15,3,50
Evan_MC_A1_cell46378,65,12,20,-1,39,8,10,12,39,8,10,7,39,8,10,13,65,12,20,-1
Evan_MC_A1_cell46396,12,15,3,142,72,36,21,-1,72,36,21,-1,72,36,21,-1,1,15,3,50
Evan_MC_A1_cell46748,49,23,32,-1,62,8,10,12,62,8,10,7,39,8,10,13,16,23,6,-1
Evan_MC_A1_cell46809,75,25,16,-1,31,3,7,1,31,3,7,1,31,3,7,2,75,25,16,-1
Evan_MC_A1_cell46849,68,31,13,19,53,30,9,11,53,30,9,17,53,30,9,18,68,31,13,11
Evan_MC_A1_cell46962,58,18,11,-1,20,1,5,105,20,1,5,98,20,1,5,87,21,16,11,14
Evan_MC_A1_cell47287,12,26,3,142,79,9,2,34,79,9,2,33,79,9,2,38,1,15,3,50
Evan_MC_A1_cell47602,75,25,16,-1,62,8,10,12,62,8,10,7,39,8,10,13,75,25,16,-1
Evan_MC_A1_cell47735,6,20,1,16,49,10,33,-1,49,10,33,-1,49,6,33,-1,4,14,1,4
Evan_MC_A1_cell47963,62,8,10,15,49,3,7,-1,49,3,7,-1,49,3,7,-1,39,8,10,52
Evan_MC_A1_cell48125,49,10,10,-1,54,30,11,32,54,30,11,31,54,30,11,28,16,6,10,-1
Evan_MC_A1_cell48165,68,31,13,19,77,25,16,-1,77,25,16,-1,77,25,16,-1,68,31,13,11
Evan_MC_A1_cell48213,4,27,1,-1,12,15,3,36,1,15,3,52,1,15,3,55,4,14,1,4
