cells,sc3-Initial,Monocle-Initial,Seurat-Initial,Consensus-Initial,sc3-33,Monocle-33,Seurat-33,Consensus-33,sc3-66,Monocle-66,Seurat-66,Consensus-66,sc3-90,Monocle-90,Seurat-90,Consensus-90,sc3-Final,Monocle-Final,Seurat-Final,Consensus-Final
Evan_MC_C1_cell411157,53,21,9,-1,79,9,2,34,79,9,2,33,79,9,2,38,53,21,9,6
Evan_MC_C1_cell411654,18,24,4,67,54,18,11,-1,54,18,11,-1,54,18,11,-1,17,4,4,53
Evan_MC_C1_cell411661,20,1,5,13,14,14,1,-1,14,14,1,3,4,14,1,5,20,1,5,20
Evan_MC_C1_cell411734,49,19,6,2,54,21,9,-1,54,21,9,-1,54,21,9,-1,16,6,6,45
Evan_MC_C1_cell412334,73,13,8,54,62,8,10,12,62,8,10,7,39,8,10,13,73,13,8,30
Evan_MC_C1_cell412505,71,36,24,-1,53,8,10,12,53,8,10,7,53,8,10,13,71,36,24,-1
Evan_MC_C1_cell412578,80,11,2,55,53,30,9,11,53,30,9,17,53,30,9,18,51,9,2,46
Evan_MC_C1_cell412600,49,36,22,-1,49,36,21,-1,49,36,21,-1,49,36,21,-1,16,36,22,-1
Evan_MC_C1_cell412624,5,14,1,24,65,12,20,-1,65,12,20,-1,65,12,20,-1,4,14,1,4
Evan_MC_C1_cell412932,5,14,1,24,6,20,1,73,5,14,1,3,4,14,1,5,4,14,1,4
Evan_MC_C1_cell412940,58,16,11,4,68,31,13,15,68,31,13,11,68,31,13,12,21,16,11,14
Evan_MC_C1_cell412970,53,30,9,9,57,33,15,16,57,33,15,20,57,33,15,23,53,21,9,6
Evan_MC_C1_cell413116,79,9,2,60,64,29,17,-1,64,29,17,-1,64,29,17,-1,51,9,2,46
Evan_MC_C1_cell413520,63,22,12,20,60,33,15,16,60,33,15,20,60,33,15,23,63,22,12,17
Evan_MC_C1_cell413548,44,8,10,15,5,35,1,57,5,14,1,3,4,14,1,5,39,8,10,52
Evan_MC_C1_cell413551,2,15,3,-1,21,16,11,5,21,16,11,6,21,16,11,4,1,15,3,50
Evan_MC_C1_cell413694,24,17,5,85,52,7,23,-1,52,7,23,-1,52,7,2,-1,20,1,5,20
Evan_MC_C1_cell414093,78,17,7,-1,31,3,7,1,31,3,7,1,31,3,7,2,4,1,7,-1
Evan_MC_C1_cell414310,69,36,19,-1,6,20,1,73,5,14,1,3,4,14,1,5,50,36,19,-1
Evan_MC_C1_cell414367,24,17,5,85,20,1,5,105,20,1,5,98,20,1,5,87,20,1,5,20
Evan_MC_C1_cell414389,52,7,14,52,64,29,17,-1,64,29,17,-1,64,29,17,-1,52,7,14,40
