"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"1","SM-GE653_S113_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"2","SM-GE653_S114_E1-50",19,4,9,19,4,9,18,4,9,18,4,9,18,4,9
"3","SM-GE653_S115_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"4","SM-GE653_S116_E1-50",33,2,8,33,2,8,33,2,8,33,2,8,18,2,8
"5","SM-GE653_S117_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"6","SM-GE653_S118_E1-50",33,9,16,33,9,16,33,9,16,33,9,9,18,4,9
"7","SM-GE653_S119_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"8","SM-GE653_S120_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"9","SM-GE653_S121_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"10","SM-GE653_S122_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"11","SM-GE653_S123_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"12","SM-GE653_S124_E1-50",33,4,16,33,4,16,33,4,16,33,4,9,18,4,9
"13","SM-GE653_S125_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"14","SM-GE653_S126_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"15","SM-GE653_S127_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"16","SM-GE653_S128_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"17","SM-GE653_S129_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"18","SM-GE653_S130_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"19","SM-GE653_S131_E1-50",33,13,8,33,13,8,33,13,8,33,13,8,18,13,8
"20","SM-GE653_S132_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"21","SM-GE653_S133_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"22","SM-GE653_S134_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"23","SM-GE653_S135_E1-50",19,23,16,19,23,16,18,23,16,18,4,9,18,4,9
"24","SM-GE653_S136_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"25","SM-GE653_S137_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"26","SM-GE653_S138_E1-50",16,1,5,16,1,5,16,1,5,16,1,5,16,1,5
"27","SM-GE653_S139_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"28","SM-GE653_S140_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"29","SM-GE653_S141_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"30","SM-GE653_S142_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"31","SM-GE653_S143_E1-50",31,24,3,31,24,3,31,7,3,31,7,3,31,7,3
"32","SM-GE653_S144_E1-50",33,4,16,33,4,16,33,4,16,33,4,9,18,4,9
"33","SM-GE653_S145_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"34","SM-GE653_S146_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"35","SM-GE653_S147_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"36","SM-GE653_S148_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"37","SM-GE653_S149_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"38","SM-GE653_S150_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"39","SM-GE653_S151_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"40","SM-GE653_S152_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"41","SM-GE653_S154_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"42","SM-GE653_S155_E1-50",31,9,10,31,9,10,31,9,10,31,9,10,31,4,10
"43","SM-GE653_S156_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"44","SM-GE653_S157_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"45","SM-GE653_S158_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"46","SM-GE653_S159_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"47","SM-GE653_S160_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"48","SM-GE653_S161_E1-50",36,17,7,36,17,7,36,17,7,36,17,7,36,17,7
"49","SM-GE653_S162_E1-50",2,25,4,2,25,4,2,22,4,1,22,4,1,22,4
"50","SM-GE653_S163_E1-50",32,32,12,32,32,12,32,32,12,32,32,12,32,32,12
"51","SM-GE653_S164_E1-50",37,10,7,37,10,7,37,7,7,36,7,7,36,7,7
"52","SM-GE653_S165_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"53","SM-GE653_S166_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"54","SM-GE653_S167_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"55","SM-GE653_S168_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"56","SM-GE653_S169_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"57","SM-GE653_S171_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"58","SM-GE653_S172_E1-50",2,25,4,2,25,4,2,22,4,1,22,4,1,22,4
"59","SM-GE653_S173_E1-50",6,19,8,6,19,8,6,19,8,6,19,8,6,19,8
"60","SM-GE653_S174_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"61","SM-GE653_S175_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"62","SM-GE653_S176_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"63","SM-GE653_S178_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"64","SM-GE653_S179_E1-50",6,22,2,6,22,2,6,22,2,6,22,2,6,22,2
"65","SM-GE653_S180_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"66","SM-GE653_S181_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"67","SM-GE653_S182_E1-50",4,27,4,4,27,4,4,27,4,4,27,4,4,13,4
"68","SM-GE653_S183_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"69","SM-GE653_S184_E1-50",2,22,4,2,22,4,2,22,4,1,22,4,1,22,4
"70","SM-GE653_S185_E1-50",7,31,2,7,31,2,6,31,2,6,31,2,6,31,2
"71","SM-GE653_S187_E1-50",24,19,2,24,19,2,24,19,2,24,19,2,24,19,2
"72","SM-GE653_S188_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"73","SM-GE653_S189_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"74","SM-GE653_S190_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"75","SM-GE653_S191_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"76","SM-GE653_S192_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"77","SM-GE64R_S097_E1-50",10,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"78","SM-GE64R_S098_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"79","SM-GE64R_S099_E1-50",10,12,8,8,12,8,8,12,8,8,12,8,8,12,8
"80","SM-GE64R_S100_E1-50",8,11,1,8,11,1,8,11,1,8,11,1,8,11,1
"81","SM-GE64R_S101_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"82","SM-GE64R_S102_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"83","SM-GE64R_S103_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"84","SM-GE64R_S104_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"85","SM-GE64R_S105_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"86","SM-GE64R_S106_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"87","SM-GE64R_S107_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"88","SM-GE64R_S108_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"89","SM-GE64R_S109_E1-50",10,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"90","SM-GE64R_S110_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"91","SM-GE64R_S111_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"92","SM-GE64R_S112_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"93","SM-GE64R_S113_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"94","SM-GE64R_S114_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"95","SM-GE64R_S115_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"96","SM-GE64R_S116_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"97","SM-GE64R_S117_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"98","SM-GE64R_S118_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"99","SM-GE64R_S119_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"100","SM-GE64R_S120_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"101","SM-GE64R_S121_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"102","SM-GE64R_S122_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"103","SM-GE64R_S123_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"104","SM-GE64R_S124_E1-50",33,9,16,33,9,16,33,9,16,33,9,9,18,4,9
"105","SM-GE64R_S125_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"106","SM-GE64R_S126_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"107","SM-GE64R_S127_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"108","SM-GE64R_S128_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"109","SM-GE64R_S137_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"110","SM-GE64R_S138_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"111","SM-GE64R_S139_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"112","SM-GE64R_S140_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"113","SM-GE64R_S141_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"114","SM-GE64R_S142_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"115","SM-GE64R_S143_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"116","SM-GE64R_S144_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"117","SM-GE64R_S145_E1-50",33,2,10,33,2,10,33,2,10,33,2,10,18,2,10
"118","SM-GE64R_S146_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"119","SM-GE64R_S147_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"120","SM-GE64R_S148_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"121","SM-GE64R_S149_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"122","SM-GE64R_S150_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"123","SM-GE64R_S151_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"124","SM-GE64R_S152_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"125","SM-GE64R_S153_E1-50",1,33,4,1,33,4,1,31,4,1,31,4,1,31,4
"126","SM-GE64R_S154_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"127","SM-GE64R_S155_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"128","SM-GE64R_S156_E1-50",3,27,8,3,27,8,3,27,8,3,27,8,3,13,8
"129","SM-GE64R_S157_E1-50",6,22,2,6,22,2,6,22,2,6,22,2,6,22,2
"130","SM-GE64R_S158_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"131","SM-GE64R_S159_E1-50",1,22,2,1,22,2,1,22,2,1,22,2,1,22,2
"132","SM-GE64R_S160_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"133","SM-GE64R_S161_E1-50",1,33,2,1,33,2,1,31,2,1,31,2,1,31,2
"134","SM-GE64R_S162_E1-50",7,31,2,7,31,2,6,31,2,6,31,2,6,31,2
"135","SM-GE64R_S163_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"136","SM-GE64R_S164_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"137","SM-GE64R_S165_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"138","SM-GE64R_S166_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"139","SM-GE64R_S167_E1-50",2,22,2,2,22,2,2,22,2,1,22,2,1,22,2
"140","SM-GE64R_S168_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"141","SM-GE64R_S170_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"142","SM-GE64R_S171_E1-50",2,31,4,2,31,4,2,31,4,1,31,4,1,31,4
"143","SM-GE64R_S173_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"144","SM-GE64R_S174_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"145","SM-GE64R_S175_E1-50",6,19,2,6,19,2,6,19,2,6,19,2,6,19,2
"146","SM-GE64R_S177_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"147","SM-GE64R_S178_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"148","SM-GE64R_S179_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"149","SM-GE64R_S180_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"150","SM-GE64R_S181_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"151","SM-GE64R_S182_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"152","SM-GE64R_S183_E1-50",6,22,2,6,22,2,6,22,2,6,22,2,6,22,2
"153","SM-GE64R_S184_E1-50",31,27,15,31,27,15,31,27,15,31,27,15,31,13,15
"154","SM-GE64R_S185_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"155","SM-GE64R_S186_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"156","SM-GE64R_S187_E1-50",6,22,2,6,22,2,6,22,2,6,22,2,6,22,2
"157","SM-GE64R_S188_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"158","SM-GE64R_S189_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"159","SM-GE64R_S190_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"160","SM-GE64R_S191_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"161","SM-GE64R_S192_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"162","SM-GE64S_S001_E1-50",19,23,16,19,23,16,18,23,16,18,4,9,18,4,9
"163","SM-GE64S_S002_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"164","SM-GE64S_S003_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"165","SM-GE64S_S004_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"166","SM-GE64S_S005_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"167","SM-GE64S_S006_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"168","SM-GE64S_S007_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"169","SM-GE64S_S008_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"170","SM-GE64S_S009_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"171","SM-GE64S_S010_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"172","SM-GE64S_S011_E1-50",33,9,18,33,9,18,33,9,18,33,9,18,18,4,9
"173","SM-GE64S_S012_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"174","SM-GE64S_S013_E1-50",33,23,16,33,23,16,33,23,16,33,4,9,18,4,9
"175","SM-GE64S_S014_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"176","SM-GE64S_S015_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"177","SM-GE64S_S016_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"178","SM-GE64S_S025_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"179","SM-GE64S_S026_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"180","SM-GE64S_S027_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"181","SM-GE64S_S028_E1-50",10,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"182","SM-GE64S_S029_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"183","SM-GE64S_S030_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"184","SM-GE64S_S031_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"185","SM-GE64S_S032_E1-50",33,13,16,33,13,16,33,13,16,33,13,9,18,13,9
"186","SM-GE64S_S033_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
"187","SM-GE64S_S034_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"188","SM-GE64S_S035_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"189","SM-GE64S_S036_E1-50",17,15,13,17,15,13,17,15,13,16,15,11,16,3,11
"190","SM-GE64S_S037_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"191","SM-GE64S_S038_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"192","SM-GE64S_S039_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"193","SM-GE64S_S040_E1-50",33,2,18,33,2,18,33,2,18,33,2,18,18,2,9
"194","SM-GE64S_S041_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"195","SM-GE64S_S042_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"196","SM-GE64S_S043_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"197","SM-GE64S_S044_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"198","SM-GE64S_S045_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"199","SM-GE64S_S046_E1-50",33,4,16,33,4,16,33,4,16,33,4,9,18,4,9
"200","SM-GE64S_S047_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"201","SM-GE64S_S048_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"202","SM-GE64S_S049_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"203","SM-GE64S_S050_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"204","SM-GE64S_S051_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"205","SM-GE64S_S052_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"206","SM-GE64S_S053_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"207","SM-GE64S_S054_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"208","SM-GE64S_S055_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"209","SM-GE64S_S056_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"210","SM-GE64S_S057_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"211","SM-GE64S_S058_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"212","SM-GE64S_S059_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"213","SM-GE64S_S060_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"214","SM-GE64S_S061_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"215","SM-GE64S_S062_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"216","SM-GE64S_S063_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"217","SM-GE64S_S064_E1-50",26,27,8,26,27,8,26,27,8,26,27,8,3,13,8
"218","SM-GE64S_S066_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"219","SM-GE64S_S068_E1-50",1,25,4,1,25,4,1,22,4,1,22,4,1,22,4
"220","SM-GE64S_S069_E1-50",2,25,4,2,25,4,2,22,4,1,22,4,1,22,4
"221","SM-GE64S_S070_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"222","SM-GE64S_S071_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"223","SM-GE64S_S072_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"224","SM-GE64S_S073_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"225","SM-GE64S_S074_E1-50",7,31,2,7,31,2,6,31,2,6,31,2,6,31,2
"226","SM-GE64S_S075_E1-50",6,31,4,6,31,4,6,31,4,6,31,4,6,31,4
"227","SM-GE64S_S076_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"228","SM-GE64S_S077_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"229","SM-GE64S_S078_E1-50",6,22,2,6,22,2,6,22,2,6,22,2,6,22,2
"230","SM-GE64S_S079_E1-50",25,26,8,25,26,8,25,26,8,25,26,8,3,13,8
"231","SM-GE64S_S080_E1-50",40,7,6,40,7,6,40,7,6,38,7,6,38,7,6
"232","SM-GE64S_S082_E1-50",24,27,15,24,27,15,24,27,15,24,27,15,24,13,15
"233","SM-GE64S_S083_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"234","SM-GE64S_S084_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"235","SM-GE64S_S085_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"236","SM-GE64S_S086_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"237","SM-GE64S_S087_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"238","SM-GE64S_S088_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"239","SM-GE64S_S089_E1-50",2,22,4,2,22,4,2,22,4,1,22,4,1,22,4
"240","SM-GE64S_S090_E1-50",6,19,2,6,19,2,6,19,2,6,19,2,6,19,2
"241","SM-GE64S_S091_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"242","SM-GE64S_S092_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"243","SM-GE64S_S093_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"244","SM-GE64S_S094_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"245","SM-GE64S_S095_E1-50",24,33,2,24,33,2,24,31,2,24,31,2,24,31,2
"246","SM-GE64S_S096_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"247","SM-GE64S_S097_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"248","SM-GE64S_S098_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"249","SM-GE64S_S099_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"250","SM-GE64S_S100_E1-50",10,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"251","SM-GE64S_S101_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"252","SM-GE64S_S102_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"253","SM-GE64S_S103_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"254","SM-GE64S_S104_E1-50",10,12,1,8,12,1,8,12,1,8,12,1,8,12,1
"255","SM-GE64S_S105_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"256","SM-GE64S_S106_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"257","SM-GE64S_S107_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"258","SM-GE64S_S108_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"259","SM-GE64S_S109_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"260","SM-GE64S_S110_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"261","SM-GE64S_S111_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"262","SM-GE64S_S112_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"263","SM-GE64S_S113_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"264","SM-GE64S_S114_E1-50",12,7,3,12,7,3,11,7,3,11,7,3,11,7,3
"265","SM-GE64S_S115_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"266","SM-GE64S_S116_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"267","SM-GE64S_S117_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"268","SM-GE64S_S118_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"269","SM-GE64S_S119_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"270","SM-GE64S_S120_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"271","SM-GE64S_S129_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"272","SM-GE64S_S130_E1-50",18,4,9,18,4,9,18,4,9,18,4,9,18,4,9
"273","SM-GE64S_S131_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"274","SM-GE64S_S132_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"275","SM-GE64S_S133_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"276","SM-GE64S_S134_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"277","SM-GE64S_S135_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"278","SM-GE64S_S136_E1-50",19,23,9,19,23,9,18,23,9,18,4,9,18,4,9
"279","SM-GE64S_S137_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"280","SM-GE64S_S138_E1-50",20,1,13,20,1,13,20,1,13,20,1,11,20,1,11
"281","SM-GE64S_S139_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
"282","SM-GE64S_S140_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"283","SM-GE64S_S141_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
"284","SM-GE64S_S142_E1-50",18,23,9,18,23,9,18,23,9,18,4,9,18,4,9
