"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"5094","SM-GE66P_S034_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5095","SM-GE66P_S035_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5096","SM-GE66P_S036_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5097","SM-GE66P_S037_E1-50",2,22,4,2,22,4,2,22,4,1,22,4,1,22,4
"5098","SM-GE66P_S038_E1-50",12,24,3,12,24,3,11,7,3,11,7,3,11,7,3
"5099","SM-GE66P_S039_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"5100","SM-GE66P_S040_E1-50",32,32,12,32,32,12,32,32,12,32,32,12,32,32,12
"5101","SM-GE66P_S041_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"5102","SM-GE66P_S042_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5103","SM-GE66P_S043_E1-50",40,18,7,40,18,7,40,18,7,38,11,7,38,11,7
"5104","SM-GE66P_S044_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"5105","SM-GE66P_S045_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"5106","SM-GE66P_S046_E1-50",11,21,3,11,21,3,11,21,3,11,21,3,11,21,3
"5107","SM-GE66P_S047_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"5108","SM-GE66P_S048_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5109","SM-GE66P_S049_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5110","SM-GE66P_S050_E1-50",8,11,1,8,11,1,8,11,1,8,11,1,8,11,1
"5111","SM-GE66P_S051_E1-50",10,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"5112","SM-GE66P_S053_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5113","SM-GE66P_S054_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"5114","SM-GE66P_S055_E1-50",40,12,6,40,12,6,40,12,6,38,12,6,38,12,6
"5115","SM-GE66P_S056_E1-50",14,21,17,14,21,17,14,21,17,14,21,17,14,21,17
"5116","SM-GE66P_S057_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"5117","SM-GE66P_S058_E1-50",32,32,12,32,32,12,32,32,12,32,32,12,32,32,12
"5118","SM-GE66P_S059_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"5119","SM-GE66P_S060_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"5120","SM-GE66P_S061_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"5121","SM-GE66P_S062_E1-50",40,17,7,40,17,7,40,17,7,38,17,7,38,17,7
"5122","SM-GE66P_S063_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"5123","SM-GE66P_S064_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"5124","SM-GE66P_S065_E1-50",37,12,17,37,12,17,37,12,17,36,12,17,36,12,17
"5125","SM-GE66P_S066_E1-50",16,28,5,16,28,5,16,15,5,16,15,5,16,3,5
"5126","SM-GE66P_S067_E1-50",23,2,10,23,2,10,23,2,10,23,2,10,23,2,10
