cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
236,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
237,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
238,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
239,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
240,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
241,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
242,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
243,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
244,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
245,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
246,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
247,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
248,24,24,8,24,24,8,24,24,8,24,24,8,17,24,8
249,33,41,13,33,41,13,33,41,13,33,41,13,30,41,13
250,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
251,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
252,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
253,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
254,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
255,22,19,25,22,19,25,22,19,25,22,19,25,15,19,25
256,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
257,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
258,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
259,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
260,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
261,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
262,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
263,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
264,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
265,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
266,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
267,30,41,13,30,41,13,30,41,13,30,41,13,30,41,13
268,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
269,26,19,14,26,19,14,26,19,14,26,19,2,26,19,2
270,19,10,5,19,2,5,19,2,5,19,2,5,19,2,5
271,26,19,8,26,19,8,26,19,8,26,19,8,26,19,8
272,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
273,20,28,5,20,28,5,20,28,5,20,28,5,19,28,5
274,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
275,19,19,5,19,19,5,19,19,5,19,19,5,19,19,5
276,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
277,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
278,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
279,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
280,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
281,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
282,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
283,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
284,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
285,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
286,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
287,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
288,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
289,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
290,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
291,24,19,14,24,19,14,24,19,14,24,19,2,17,19,2
292,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
293,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
294,25,19,25,25,19,25,25,19,25,25,19,25,25,19,25
295,26,18,15,26,18,15,26,18,15,26,18,15,26,18,15
296,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
297,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
298,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
299,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
300,25,19,14,25,19,14,25,19,14,25,19,2,25,19,2
301,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
302,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
303,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
304,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
305,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
306,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
307,32,6,20,32,6,20,32,6,20,32,6,20,32,6,20
308,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
309,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
310,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5
311,13,12,3,13,9,3,12,3,3,12,3,3,11,3,3
