cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
3898,37,27,18,37,27,18,37,27,18,37,27,18,37,27,18
3899,40,30,7,40,30,7,40,30,7,40,12,7,7,12,7
3900,27,27,7,27,27,7,27,27,7,26,27,7,26,27,7
3901,37,9,18,37,9,18,37,9,18,37,9,18,37,9,18
3902,37,27,18,37,27,18,37,27,18,37,27,18,37,27,18
3903,37,27,18,37,27,18,37,27,18,37,27,18,37,27,18
3904,26,12,7,26,12,7,26,12,7,26,12,7,26,12,7
3905,37,27,18,37,27,18,37,27,18,37,27,18,37,27,18
3906,27,27,7,27,27,7,27,27,7,26,27,7,26,27,7
3907,37,27,18,37,27,18,37,27,18,37,27,18,37,27,18
3908,3,37,1,2,14,1,2,14,1,2,14,1,1,14,1
3909,37,30,18,37,30,18,37,30,18,37,12,18,37,12,18
3910,37,27,20,37,27,20,37,27,20,37,27,20,37,27,18
3911,35,27,8,35,27,8,35,27,8,35,27,8,35,27,8
3912,3,37,1,2,14,1,2,14,1,2,14,1,1,14,1
3913,26,12,7,26,12,7,26,12,7,26,12,7,26,12,7
3914,37,27,18,37,27,18,37,27,18,37,27,18,37,27,18
3915,26,27,7,26,27,7,26,27,7,26,27,7,26,27,7
3916,40,34,18,40,34,18,40,34,18,40,34,18,7,31,18
3917,3,14,1,2,14,1,2,14,1,2,14,1,1,14,1
3918,3,14,1,2,14,1,2,14,1,2,14,1,1,14,1
3919,27,12,7,27,12,7,27,12,7,26,12,7,26,12,7
3920,27,27,18,27,27,18,27,27,18,26,27,18,26,27,18
3921,26,30,7,26,30,7,26,30,7,26,12,7,26,12,7
3922,29,3,13,29,3,13,29,3,13,28,2,13,28,2,11
3923,23,2,4,23,2,4,23,2,4,22,2,4,22,2,4
3924,35,38,8,35,38,8,35,38,8,35,9,8,35,9,8
3925,35,9,8,35,9,8,35,9,8,35,9,8,35,9,8
3926,35,9,8,35,9,8,35,9,8,35,9,8,35,9,8
3927,35,38,8,35,38,8,35,38,8,35,9,8,35,9,8
3928,8,4,3,8,4,3,8,4,3,8,4,3,4,4,3
3929,37,30,18,37,30,18,37,30,18,37,12,18,37,12,18
3930,29,2,13,29,2,13,29,2,13,28,2,13,28,2,11
3931,23,29,4,23,29,4,23,29,4,22,29,4,22,29,4
3932,35,9,8,35,9,8,35,9,8,35,9,8,35,9,8
3933,35,9,8,35,9,8,35,9,8,35,9,8,35,9,8
3934,26,27,7,26,27,7,26,27,7,26,27,7,26,27,7
3935,27,12,7,27,12,7,27,12,7,26,12,7,26,12,7
3936,29,2,13,29,2,13,29,2,13,28,2,13,28,2,11
3937,37,38,20,37,38,20,37,38,20,37,9,20,37,9,18
3938,29,2,13,29,2,13,29,2,13,28,2,13,28,2,11
3939,35,38,8,35,38,8,35,38,8,35,9,8,35,9,8
3940,26,12,7,26,12,7,26,12,7,26,12,7,26,12,7
3941,29,2,13,29,2,13,29,2,13,28,2,13,28,2,11
3942,26,12,7,26,12,7,26,12,7,26,12,7,26,12,7
3943,27,27,7,27,27,7,27,27,7,26,27,7,26,27,7
3944,5,20,3,5,20,3,4,1,3,4,1,3,4,1,3
3945,16,26,6,16,26,6,16,26,6,16,5,6,16,5,6
3946,15,35,5,15,35,5,15,35,5,13,6,5,13,6,5
3947,36,25,12,36,25,12,36,25,12,36,25,12,36,25,12
3948,17,20,6,17,20,6,17,1,6,16,1,6,16,1,6
3949,17,26,6,17,26,6,17,26,6,16,5,6,16,5,6
3950,18,21,10,18,21,10,18,21,10,18,21,10,18,21,10
3951,20,24,15,20,24,15,20,24,15,20,24,15,20,24,15
3952,18,21,10,18,21,10,18,21,10,18,21,10,18,21,10
3953,34,18,16,34,18,16,34,18,16,34,18,16,33,18,16
3954,23,29,4,23,29,4,23,29,4,22,29,4,22,29,4
3955,15,35,5,15,35,5,15,35,5,13,6,5,13,6,5
