"","80","100","120","cells"
"3404",53,49,76,"Evan_MC_A1_cell617817"
"3405",57,74,113,"Evan_MC_A1_cell618028"
"3406",53,50,74,"Evan_MC_A1_cell618120"
"3407",65,25,103,"Evan_MC_A1_cell618192"
"3408",78,8,30,"Evan_MC_A1_cell618227"
"3409",53,51,49,"Evan_MC_A1_cell618467"
"3410",78,9,31,"Evan_MC_A1_cell618641"
"3411",6,10,27,"Evan_MC_A1_cell618853"
"3412",63,56,112,"Evan_MC_A1_cell619092"
"3413",12,35,66,"Evan_MC_A1_cell619349"
"3414",49,40,21,"Evan_MC_A1_cell620076"
"3415",66,78,4,"Evan_MC_A1_cell620094"
"3416",21,64,58,"Evan_MC_A1_cell620435"
"3417",4,11,12,"Evan_MC_A1_cell620629"
"3418",18,12,42,"Evan_MC_A1_cell621018"
"3419",49,40,92,"Evan_MC_A1_cell621032"
"3420",31,14,49,"Evan_MC_A1_cell621200"
"3421",19,79,45,"Evan_MC_A1_cell621690"
"3422",65,78,4,"Evan_MC_A1_cell621797"
"3423",19,79,45,"Evan_MC_A1_cell622206"
"3424",79,85,8,"Evan_MC_A1_cell622381"
"3425",79,85,8,"Evan_MC_A1_cell622471"
"3426",49,40,92,"Evan_MC_A1_cell622943"
"3427",24,14,49,"Evan_MC_A1_cell623531"
"3428",66,99,3,"Evan_MC_A1_cell623569"
"3429",17,79,43,"Evan_MC_A1_cell623622"
"3430",6,12,27,"Evan_MC_A1_cell623724"
"3431",78,16,31,"Evan_MC_A1_cell623737"
"3432",49,40,92,"Evan_MC_A1_cell623770"
"3433",80,84,8,"Evan_MC_A1_cell623900"
"3434",58,64,58,"Evan_MC_A1_cell624006"
"3435",53,40,92,"Evan_MC_A1_cell624291"
"3436",64,99,100,"Evan_MC_A1_cell624397"
"3437",12,24,99,"Evan_MC_A1_cell624506"
"3438",63,56,112,"Evan_MC_A1_cell624869"
"3439",73,95,21,"Evan_MC_A1_cell625158"
"3440",17,4,43,"Evan_MC_A1_cell625465"
"3441",39,60,109,"Evan_MC_A1_cell625664"
"3442",64,99,3,"Evan_MC_A1_cell625700"
"3443",6,10,27,"Evan_MC_A1_cell625858"
"3444",49,40,73,"Evan_MC_A1_cell626078"
"3445",68,82,119,"Evan_MC_A1_cell626488"
"3446",49,40,92,"Evan_MC_A1_cell626531"
"3447",49,40,92,"Evan_MC_A1_cell626591"
"3448",57,74,113,"Evan_MC_A1_cell626612"
"3449",53,40,73,"Evan_MC_A1_cell626676"
"3450",69,89,115,"Evan_MC_A1_cell627147"
"3451",54,64,58,"Evan_MC_A1_cell627191"
"3452",80,84,8,"Evan_MC_A1_cell627265"
"3453",12,35,66,"Evan_MC_A1_cell627282"
"3454",24,90,43,"Evan_MC_A1_cell627325"
"3455",24,14,49,"Evan_MC_A1_cell627523"
"3456",78,73,31,"Evan_MC_A1_cell627567"
"3457",78,9,23,"Evan_MC_A1_cell627589"
"3458",6,10,27,"Evan_MC_A1_cell627767"
"3459",79,84,8,"Evan_MC_A1_cell627907"
"3460",24,14,49,"Evan_MC_A1_cell628372"
"3461",63,56,112,"Evan_MC_A1_cell629082"
"3462",12,35,66,"Evan_MC_A1_cell629171"
"3463",54,66,95,"Evan_MC_A1_cell629175"
"3464",17,9,30,"Evan_MC_A1_cell629199"
"3465",63,59,111,"Evan_MC_A1_cell629417"
"3466",19,79,30,"Evan_MC_A1_cell629460"
"3467",53,40,92,"Evan_MC_A1_cell629716"
"3468",79,84,8,"Evan_MC_A1_cell629758"
"3469",73,95,21,"Evan_MC_A1_cell630182"
"3470",54,49,95,"Evan_MC_A1_cell630378"
"3471",20,28,42,"Evan_MC_A1_cell630782"
"3472",6,12,27,"Evan_MC_A1_cell630818"
"3473",31,25,75,"Evan_MC_A1_cell630870"
"3474",62,61,107,"Evan_MC_A1_cell631888"
"3475",65,60,109,"Evan_MC_A1_cell631897"
"3476",12,24,99,"Evan_MC_A1_cell631984"
"3477",79,84,105,"Evan_MC_A1_cell632334"
"3478",73,95,21,"Evan_MC_A1_cell632438"
"3479",62,60,109,"Evan_MC_A1_cell632491"
"3480",49,40,92,"Evan_MC_A1_cell632596"
"3481",70,80,99,"Evan_MC_A1_cell632621"
"3482",73,95,21,"Evan_MC_A1_cell632822"
"3483",31,25,75,"Evan_MC_A1_cell632970"
"3484",73,95,92,"Evan_MC_A1_cell633429"
"3485",75,87,117,"Evan_MC_A1_cell633575"
"3486",12,35,66,"Evan_MC_A1_cell634399"
"3487",67,99,3,"Evan_MC_A1_cell634460"
"3488",49,40,92,"Evan_MC_A1_cell634659"
"3489",69,89,19,"Evan_MC_A1_cell634660"
"3490",6,10,27,"Evan_MC_A1_cell635259"
"3491",57,74,113,"Evan_MC_A1_cell635292"
"3492",52,44,105,"Evan_MC_A1_cell635401"
"3493",78,12,17,"Evan_MC_A1_cell635716"
"3494",6,12,27,"Evan_MC_A1_cell635745"
"3495",52,44,105,"Evan_MC_A1_cell635819"
"3496",72,96,23,"Evan_MC_A1_cell635912"
"3497",80,8,27,"Evan_MC_A1_cell636233"
"3498",24,14,49,"Evan_MC_A1_cell636779"
"3499",69,89,17,"Evan_MC_A1_cell636795"
"3500",20,20,56,"Evan_MC_A1_cell636896"
"3501",75,87,117,"Evan_MC_A1_cell637090"
"3502",20,20,56,"Evan_MC_A1_cell637212"
"3503",57,53,93,"Evan_MC_A1_cell637285"
"3504",75,95,21,"Evan_MC_A1_cell637721"
"3505",12,35,66,"Evan_MC_A1_cell637776"
"3506",12,35,66,"Evan_MC_A1_cell637848"
"3507",79,84,8,"Evan_MC_A1_cell638110"
"3508",79,84,8,"Evan_MC_A1_cell638494"
"3509",75,87,117,"Evan_MC_A1_cell638674"
"3510",65,78,4,"Evan_MC_A1_cell638780"
"3511",18,2,45,"Evan_MC_A1_cell638833"
"3512",73,95,21,"Evan_MC_A1_cell638903"
"3513",12,35,66,"Evan_MC_A1_cell638939"
"3514",52,44,105,"Evan_MC_A1_cell638983"
"3515",24,14,49,"Evan_MC_A1_cell639086"
"3516",25,2,47,"Evan_MC_A1_cell639614"
"3517",54,49,76,"Evan_MC_A1_cell639704"
"3518",20,20,56,"Evan_MC_A1_cell639898"
"3519",56,44,85,"Evan_MC_A1_cell639915"
"3520",40,40,92,"Evan_MC_A1_cell639951"
"3521",49,40,92,"Evan_MC_A1_cell640223"
"3522",6,19,30,"Evan_MC_A1_cell640224"
"3523",73,95,21,"Evan_MC_A1_cell640231"
"3524",12,24,99,"Evan_MC_A1_cell640705"
"3525",79,85,10,"Evan_MC_A1_cell640877"
"3526",12,35,66,"Evan_MC_A1_cell640884"
"3527",49,40,92,"Evan_MC_A1_cell641015"
"3528",12,35,66,"Evan_MC_A1_cell641069"
"3529",78,8,31,"Evan_MC_A1_cell641329"
"3530",49,40,73,"Evan_MC_A1_cell641497"
"3531",79,85,10,"Evan_MC_A1_cell641510"
"3532",12,24,99,"Evan_MC_A1_cell641879"
"3533",64,99,3,"Evan_MC_A1_cell642328"
"3534",79,85,8,"Evan_MC_A1_cell642487"
"3535",65,78,4,"Evan_MC_A1_cell642534"
"3536",53,50,93,"Evan_MC_A1_cell642794"
"3537",24,14,49,"Evan_MC_A1_cell642912"
"3538",78,16,31,"Evan_MC_A1_cell642946"
"3539",58,67,95,"Evan_MC_A1_cell642972"
"3540",78,8,31,"Evan_MC_A1_cell643094"
"3541",6,10,27,"Evan_MC_A1_cell643171"
"3542",6,10,19,"Evan_MC_A1_cell643287"
"3543",20,26,56,"Evan_MC_A1_cell643615"
"3544",19,79,45,"Evan_MC_A1_cell643621"
"3545",78,8,31,"Evan_MC_A1_cell644446"
"3546",54,49,95,"Evan_MC_A1_cell644457"
"3547",31,40,92,"Evan_MC_A1_cell644705"
"3548",56,44,75,"Evan_MC_A1_cell644722"
"3549",24,14,49,"Evan_MC_A1_cell644752"
"3550",5,12,27,"Evan_MC_A1_cell644894"
"3551",26,2,45,"Evan_MC_A1_cell645006"
"3552",79,84,8,"Evan_MC_A1_cell645483"
"3553",54,49,95,"Evan_MC_A1_cell645502"
"3554",78,8,47,"Evan_MC_A1_cell645695"
"3555",24,14,49,"Evan_MC_A1_cell646032"
"3556",66,78,4,"Evan_MC_A1_cell646069"
"3557",54,49,95,"Evan_MC_A1_cell646359"
"3558",73,95,21,"Evan_MC_A1_cell646832"
"3559",63,56,112,"Evan_MC_A1_cell646886"
"3560",54,49,95,"Evan_MC_A1_cell646927"
"3561",73,40,25,"Evan_MC_A1_cell646996"
"3562",79,84,105,"Evan_MC_A1_cell647540"
"3563",4,54,38,"Evan_MC_A1_cell647607"
"3564",73,95,21,"Evan_MC_A1_cell647640"
"3565",58,66,58,"Evan_MC_A1_cell647811"
"3566",18,2,47,"Evan_MC_A1_cell648348"
"3567",12,3,99,"Evan_MC_A1_cell648418"
"3568",73,95,21,"Evan_MC_A1_cell648432"
"3569",78,9,19,"Evan_MC_A1_cell648565"
"3570",79,85,105,"Evan_MC_A1_cell649268"
"3571",49,40,92,"Evan_MC_A1_cell649289"
"3572",12,24,99,"Evan_MC_A1_cell649391"
"3573",49,40,92,"Evan_MC_A1_cell649419"
"3574",49,40,92,"Evan_MC_A1_cell649718"
"3575",12,35,5,"Evan_MC_A1_cell649735"
"3576",19,90,45,"Evan_MC_A1_cell649841"
"3577",18,90,43,"Evan_MC_A1_cell649877"
"3578",73,95,21,"Evan_MC_A1_cell649879"
"3579",49,40,92,"Evan_MC_A1_cell649973"
"3580",53,50,93,"Evan_MC_A1_cell650159"
"3581",2,24,99,"Evan_MC_A1_cell650183"
"3582",19,2,30,"Evan_MC_A1_cell650389"
"3583",49,40,92,"Evan_MC_A1_cell650439"
"3584",49,40,92,"Evan_MC_A1_cell650952"
"3585",66,79,4,"Evan_MC_A1_cell651070"
"3586",65,78,4,"Evan_MC_A1_cell651126"
"3587",30,14,49,"Evan_MC_A1_cell651310"
"3588",78,8,31,"Evan_MC_A1_cell651317"
"3589",63,56,112,"Evan_MC_A1_cell651347"
"3590",70,82,119,"Evan_MC_A1_cell651428"
"3591",66,56,112,"Evan_MC_A1_cell651520"
"3592",49,40,92,"Evan_MC_A1_cell651664"
"3593",62,61,107,"Evan_MC_A1_cell651907"
"3594",64,99,100,"Evan_MC_A1_cell651955"
"3595",79,84,8,"Evan_MC_A1_cell652005"
"3596",17,4,45,"Evan_MC_A1_cell652302"
"3597",49,40,92,"Evan_MC_A1_cell652305"
"3598",49,40,92,"Evan_MC_A1_cell652551"
"3599",49,40,92,"Evan_MC_A1_cell652596"
"3600",19,79,47,"Evan_MC_A1_cell652636"
"3601",18,2,47,"Evan_MC_A1_cell652679"
"3602",80,8,31,"Evan_MC_A1_cell653173"
"3603",17,9,95,"Evan_MC_A1_cell653190"
"3604",69,78,4,"Evan_MC_A1_cell653979"
"3605",49,40,92,"Evan_MC_A1_cell654170"
"3606",49,40,92,"Evan_MC_A1_cell654334"
"3607",12,35,66,"Evan_MC_A1_cell654953"
"3608",78,9,31,"Evan_MC_A1_cell655015"
"3609",6,10,27,"Evan_MC_A1_cell655116"
"3610",25,14,34,"Evan_MC_A1_cell655298"
"3611",12,24,99,"Evan_MC_A1_cell655498"
"3612",5,10,27,"Evan_MC_A1_cell655648"
"3613",31,25,75,"Evan_MC_A1_cell656038"
"3614",12,35,66,"Evan_MC_A1_cell656381"
"3615",53,40,92,"Evan_MC_A1_cell656456"
"3616",57,74,113,"Evan_MC_A1_cell656467"
"3617",68,82,98,"Evan_MC_A1_cell656644"
"3618",5,8,27,"Evan_MC_A1_cell657584"
"3619",79,85,10,"Evan_MC_A1_cell657592"
"3620",24,20,49,"Evan_MC_A1_cell657646"
"3621",25,14,49,"Evan_MC_A1_cell657873"
"3622",69,89,113,"Evan_MC_A1_cell657917"
"3623",19,2,30,"Evan_MC_A1_cell658657"
"3624",12,35,66,"Evan_MC_A1_cell658837"
"3625",54,52,95,"Evan_MC_A1_cell658930"
"3626",5,12,27,"Evan_MC_A1_cell659183"
"3627",19,79,45,"Evan_MC_A1_cell659281"
"3628",18,2,45,"Evan_MC_A1_cell659282"
"3629",49,40,92,"Evan_MC_A1_cell659330"
"3630",20,26,56,"Evan_MC_A1_cell659523"
"3631",19,8,45,"Evan_MC_A1_cell659586"
"3632",20,26,56,"Evan_MC_A1_cell659692"
"3633",12,35,66,"Evan_MC_A1_cell659873"
"3634",70,80,120,"Evan_MC_A1_cell659920"
"3635",54,49,95,"Evan_MC_A1_cell660156"
"3636",73,95,21,"Evan_MC_A1_cell660600"
"3637",21,64,58,"Evan_MC_A1_cell660636"
"3638",53,50,93,"Evan_MC_A1_cell661029"
"3639",24,14,49,"Evan_MC_A1_cell661085"
"3640",17,14,49,"Evan_MC_A1_cell661219"
"3641",77,87,117,"Evan_MC_A1_cell661220"
"3642",57,74,113,"Evan_MC_A1_cell661300"
"3643",19,79,45,"Evan_MC_A1_cell661516"
"3644",78,8,27,"Evan_MC_A1_cell661728"
"3645",20,14,49,"Evan_MC_A1_cell661869"
"3646",4,15,49,"Evan_MC_A1_cell662066"
"3647",18,10,32,"Evan_MC_A1_cell662111"
"3648",58,64,58,"Evan_MC_A1_cell662118"
"3649",19,10,47,"Evan_MC_A1_cell662537"
"3650",65,78,4,"Evan_MC_A1_cell662875"
"3651",18,2,47,"Evan_MC_A1_cell663008"
"3652",24,14,49,"Evan_MC_A1_cell663025"
"3653",12,35,77,"Evan_MC_A1_cell663287"
"3654",12,35,66,"Evan_MC_A1_cell663907"
"3655",1,6,66,"Evan_MC_A1_cell663910"
"3656",79,84,8,"Evan_MC_A1_cell664071"
"3657",39,60,109,"Evan_MC_A1_cell664265"
"3658",12,35,66,"Evan_MC_A1_cell664792"
"3659",62,60,109,"Evan_MC_A1_cell665198"
"3660",65,79,4,"Evan_MC_A1_cell665214"
"3661",12,35,66,"Evan_MC_A1_cell665314"
"3662",49,40,92,"Evan_MC_A1_cell665839"
"3663",70,82,98,"Evan_MC_A1_cell666221"
"3664",68,80,119,"Evan_MC_A1_cell666534"
"3665",78,9,31,"Evan_MC_A1_cell666912"
"3666",58,49,95,"Evan_MC_A1_cell666974"
"3667",40,60,109,"Evan_MC_A1_cell667122"
"3668",49,40,92,"Evan_MC_A1_cell667139"
"3669",73,95,21,"Evan_MC_A1_cell667266"
"3670",7,17,27,"Evan_MC_A1_cell667386"
"3671",12,35,77,"Evan_MC_A1_cell667473"
"3672",12,35,5,"Evan_MC_A1_cell667558"
"3673",64,99,3,"Evan_MC_A1_cell668240"
"3674",64,99,3,"Evan_MC_A1_cell668399"
"3675",7,9,91,"Evan_MC_A1_cell668414"
"3676",58,64,58,"Evan_MC_A1_cell668689"
"3677",20,20,56,"Evan_MC_A1_cell668863"
"3678",4,11,28,"Evan_MC_A1_cell669022"
"3679",12,35,66,"Evan_MC_A1_cell669062"
"3680",69,89,19,"Evan_MC_A1_cell669251"
"3681",63,56,112,"Evan_MC_A1_cell670113"
"3682",7,9,27,"Evan_MC_A1_cell670217"
"3683",20,20,56,"Evan_MC_A1_cell670251"
"3684",24,14,49,"Evan_MC_A1_cell670586"
"3685",79,84,8,"Evan_MC_A1_cell670612"
"3686",30,14,49,"Evan_MC_A1_cell671033"
"3687",49,44,92,"Evan_MC_A1_cell671129"
"3688",78,84,8,"Evan_MC_A1_cell671136"
"3689",79,85,8,"Evan_MC_A1_cell671192"
"3690",24,14,49,"Evan_MC_A1_cell671198"
"3691",79,84,8,"Evan_MC_A1_cell671363"
"3692",12,35,66,"Evan_MC_A1_cell671629"
"3693",66,78,4,"Evan_MC_A1_cell671642"
"3694",70,80,119,"Evan_MC_A1_cell672027"
"3695",58,64,58,"Evan_MC_A1_cell672250"
"3696",52,48,105,"Evan_MC_A1_cell672292"
"3697",52,44,105,"Evan_MC_A1_cell672770"
"3698",18,2,47,"Evan_MC_A1_cell672830"
"3699",73,95,21,"Evan_MC_A1_cell672897"
"3700",49,40,92,"Evan_MC_A1_cell673100"
"3701",49,40,92,"Evan_MC_A1_cell673160"
"3702",12,24,99,"Evan_MC_A1_cell673666"
"3703",80,85,8,"Evan_MC_A1_cell674490"
"3704",49,40,92,"Evan_MC_A1_cell674582"
"3705",63,56,112,"Evan_MC_A1_cell674791"
"3706",4,50,28,"Evan_MC_A1_cell674904"
"3707",19,2,45,"Evan_MC_A1_cell674971"
"3708",68,82,119,"Evan_MC_A1_cell675131"
"3709",19,79,45,"Evan_MC_A1_cell675308"
"3710",53,50,93,"Evan_MC_A1_cell675438"
"3711",12,35,66,"Evan_MC_A1_cell675739"
"3712",30,14,49,"Evan_MC_A1_cell675811"
"3713",52,44,105,"Evan_MC_A1_cell675913"
"3714",6,10,27,"Evan_MC_A1_cell676025"
"3715",49,40,92,"Evan_MC_A1_cell676741"
"3716",24,14,51,"Evan_MC_A1_cell676815"
"3717",73,95,21,"Evan_MC_A1_cell677010"
"3718",18,2,47,"Evan_MC_A1_cell677399"
"3719",12,35,66,"Evan_MC_A1_cell677445"
"3720",72,96,23,"Evan_MC_A1_cell677780"
"3721",58,64,58,"Evan_MC_A1_cell678023"
"3722",79,84,105,"Evan_MC_A1_cell678590"
"3723",19,2,45,"Evan_MC_A1_cell678971"
"3724",5,10,27,"Evan_MC_A1_cell679382"
"3725",79,84,8,"Evan_MC_A1_cell679409"
"3726",49,40,92,"Evan_MC_A1_cell679581"
"3727",63,56,112,"Evan_MC_A1_cell679586"
"3728",49,40,92,"Evan_MC_A1_cell679670"
"3729",12,3,99,"Evan_MC_A1_cell680235"
"3730",19,79,45,"Evan_MC_A1_cell680279"
"3731",57,74,113,"Evan_MC_A1_cell680467"
"3732",49,40,92,"Evan_MC_A1_cell680537"
"3733",18,2,47,"Evan_MC_A1_cell680613"
"3734",21,64,58,"Evan_MC_A1_cell680775"
"3735",12,24,99,"Evan_MC_A1_cell681751"
"3736",73,95,21,"Evan_MC_A1_cell681982"
"3737",25,14,49,"Evan_MC_A1_cell682162"
"3738",19,79,45,"Evan_MC_A1_cell682195"
"3739",6,17,27,"Evan_MC_A1_cell682339"
"3740",12,24,66,"Evan_MC_A1_cell682440"
"3741",5,12,30,"Evan_MC_A1_cell682519"
"3742",79,84,8,"Evan_MC_A1_cell682621"
"3743",78,8,27,"Evan_MC_A1_cell682782"
"3744",79,85,10,"Evan_MC_A1_cell682963"
"3745",22,5,42,"Evan_MC_A1_cell682966"
"3746",12,35,66,"Evan_MC_A1_cell683414"
"3747",73,95,21,"Evan_MC_A1_cell683461"
"3748",60,74,113,"Evan_MC_A1_cell683649"
"3749",49,40,92,"Evan_MC_A1_cell683824"
"3750",12,3,99,"Evan_MC_A1_cell684159"
"3751",57,74,113,"Evan_MC_A1_cell684162"
"3752",63,56,91,"Evan_MC_A1_cell684498"
"3753",73,95,21,"Evan_MC_A1_cell684526"
"3754",73,95,21,"Evan_MC_A1_cell684838"
"3755",12,35,66,"Evan_MC_A1_cell685247"
"3756",73,95,21,"Evan_MC_A1_cell685781"
"3757",12,35,66,"Evan_MC_A1_cell685866"
"3758",20,20,56,"Evan_MC_A1_cell686204"
"3759",73,95,21,"Evan_MC_A1_cell686239"
"3760",49,40,92,"Evan_MC_A1_cell686260"
"3761",12,35,66,"Evan_MC_A1_cell686266"
"3762",6,8,27,"Evan_MC_A1_cell686475"
"3763",49,40,92,"Evan_MC_A1_cell686862"
"3764",72,96,25,"Evan_MC_A1_cell686973"
"3765",54,52,95,"Evan_MC_A1_cell687113"
"3766",52,44,105,"Evan_MC_A1_cell687477"
"3767",19,2,45,"Evan_MC_A1_cell687702"
"3768",60,75,113,"Evan_MC_A1_cell688196"
"3769",31,25,75,"Evan_MC_A1_cell688608"
"3770",73,95,21,"Evan_MC_A1_cell688647"
"3771",17,2,43,"Evan_MC_A1_cell688862"
"3772",53,52,95,"Evan_MC_A1_cell688929"
"3773",49,40,92,"Evan_MC_A1_cell688975"
"3774",12,24,99,"Evan_MC_A1_cell689715"
"3775",12,13,66,"Evan_MC_A1_cell689885"
"3776",79,84,8,"Evan_MC_A1_cell690047"
"3777",53,40,92,"Evan_MC_A1_cell690406"
"3778",69,99,4,"Evan_MC_A1_cell690528"
"3779",17,4,45,"Evan_MC_A1_cell690618"
"3780",12,35,66,"Evan_MC_A1_cell691242"
"3781",80,84,8,"Evan_MC_A1_cell691358"
"3782",68,80,120,"Evan_MC_A1_cell691532"
"3783",79,84,8,"Evan_MC_A1_cell691848"
"3784",12,68,66,"Evan_MC_A1_cell691931"
"3785",78,17,31,"Evan_MC_A1_cell691948"
"3786",80,86,10,"Evan_MC_A1_cell692049"
"3787",68,82,119,"Evan_MC_A1_cell692206"
"3788",6,12,30,"Evan_MC_A1_cell692209"
"3789",63,56,112,"Evan_MC_A1_cell692616"
"3790",49,40,92,"Evan_MC_A1_cell692635"
"3791",79,84,105,"Evan_MC_A1_cell692722"
"3792",70,89,17,"Evan_MC_A1_cell692959"
"3793",57,51,78,"Evan_MC_A1_cell693476"
"3794",52,44,105,"Evan_MC_A1_cell693608"
"3795",49,40,92,"Evan_MC_A1_cell693657"
"3796",79,84,105,"Evan_MC_A1_cell693799"
"3797",53,50,93,"Evan_MC_A1_cell694038"
"3798",73,94,21,"Evan_MC_A1_cell694454"
"3799",39,60,109,"Evan_MC_A1_cell694511"
"3800",63,56,90,"Evan_MC_A1_cell694671"
"3801",72,96,23,"Evan_MC_A1_cell694672"
"3802",79,85,8,"Evan_MC_A1_cell695014"
"3803",19,79,45,"Evan_MC_A1_cell695346"
"3804",64,99,3,"Evan_MC_A1_cell695513"
"3805",78,8,27,"Evan_MC_A1_cell695557"
"3806",53,50,95,"Evan_MC_A1_cell695710"
"3807",54,49,95,"Evan_MC_A1_cell695723"
"3808",62,61,87,"Evan_MC_A1_cell695774"
"3809",79,85,8,"Evan_MC_A1_cell696092"
"3810",73,95,21,"Evan_MC_A1_cell696733"
"3811",19,79,45,"Evan_MC_A1_cell697133"
"3812",20,20,56,"Evan_MC_A1_cell697198"
"3813",7,9,95,"Evan_MC_A1_cell697290"
"3814",79,85,8,"Evan_MC_A1_cell697307"
"3815",58,49,95,"Evan_MC_A1_cell697339"
"3816",5,10,27,"Evan_MC_A1_cell697410"
"3817",64,5,113,"Evan_MC_A1_cell697561"
"3818",49,40,92,"Evan_MC_A1_cell697860"
"3819",58,64,58,"Evan_MC_A1_cell697956"
"3820",49,40,92,"Evan_MC_A1_cell697977"
"3821",73,95,21,"Evan_MC_A1_cell698068"
"3822",58,64,58,"Evan_MC_A1_cell698221"
"3823",63,56,112,"Evan_MC_A1_cell698330"
"3824",19,8,45,"Evan_MC_A1_cell698423"
"3825",79,84,8,"Evan_MC_A1_cell698542"
"3826",79,84,8,"Evan_MC_A1_cell698554"
"3827",79,86,10,"Evan_MC_A1_cell698602"
"3828",52,44,105,"Evan_MC_A1_cell698645"
"3829",60,74,113,"Evan_MC_A1_cell698949"
"3830",49,40,92,"Evan_MC_A1_cell699170"
"3831",17,4,29,"Evan_MC_A1_cell699272"
"3832",12,24,99,"Evan_MC_A1_cell699311"
"3833",79,84,105,"Evan_MC_A1_cell699544"
"3834",79,85,8,"Evan_MC_A1_cell699816"
"3835",6,10,14,"Evan_MC_A1_cell699820"
"3836",80,85,8,"Evan_MC_A1_cell699841"
"3837",12,35,66,"Evan_MC_A1_cell700124"
"3838",73,95,117,"Evan_MC_A1_cell700126"
"3839",49,40,92,"Evan_MC_A1_cell700202"
"3840",78,9,27,"Evan_MC_A1_cell700546"
"3841",65,78,4,"Evan_MC_A1_cell700587"
"3842",78,9,31,"Evan_MC_A1_cell700728"
"3843",72,96,23,"Evan_MC_A1_cell700841"
"3844",4,11,28,"Evan_MC_A1_cell701056"
"3845",73,95,21,"Evan_MC_A1_cell701263"
"3846",79,84,10,"Evan_MC_A1_cell701480"
"3847",65,79,4,"Evan_MC_A1_cell701523"
"3848",68,78,4,"Evan_MC_A1_cell701633"
"3849",6,10,14,"Evan_MC_A1_cell701674"
"3850",52,44,105,"Evan_MC_A1_cell702057"
"3851",79,84,8,"Evan_MC_A1_cell702172"
"3852",79,86,106,"Evan_MC_A1_cell702227"
"3853",20,20,56,"Evan_MC_A1_cell702308"
"3854",54,49,95,"Evan_MC_A1_cell702445"
"3855",53,40,92,"Evan_MC_A1_cell703577"
"3856",79,84,8,"Evan_MC_A1_cell703647"
"3857",65,78,4,"Evan_MC_A1_cell703742"
"3858",75,87,117,"Evan_MC_A1_cell703808"
"3859",79,84,8,"Evan_MC_A1_cell704098"
"3860",12,24,99,"Evan_MC_A1_cell704761"
"3861",18,2,47,"Evan_MC_A1_cell704856"
"3862",6,19,30,"Evan_MC_A1_cell704970"
"3863",12,35,66,"Evan_MC_A1_cell705112"
"3864",19,2,45,"Evan_MC_A1_cell705358"
"3865",24,20,34,"Evan_MC_A1_cell705505"
"3866",71,96,25,"Evan_MC_A1_cell705600"
"3867",49,40,92,"Evan_MC_A1_cell706193"
"3868",19,79,47,"Evan_MC_A1_cell706247"
"3869",79,85,10,"Evan_MC_A1_cell706312"
"3870",75,95,21,"Evan_MC_A1_cell706817"
"3871",12,24,99,"Evan_MC_A1_cell706831"
"3872",6,12,13,"Evan_MC_A1_cell706860"
"3873",54,49,95,"Evan_MC_A1_cell707137"
"3874",6,10,27,"Evan_MC_A1_cell707501"
"3875",65,60,107,"Evan_MC_A1_cell707550"
"3876",58,66,95,"Evan_MC_A1_cell707597"
"3877",5,11,27,"Evan_MC_A1_cell708361"
"3878",78,9,31,"Evan_MC_A1_cell708395"
"3879",79,86,8,"Evan_MC_A1_cell708444"
"3880",7,9,31,"Evan_MC_A1_cell708750"
"3881",4,11,28,"Evan_MC_A1_cell709226"
"3882",80,84,8,"Evan_MC_A1_cell709244"
"3883",49,44,92,"Evan_MC_A1_cell709431"
"3884",79,84,8,"Evan_MC_A1_cell709596"
"3885",6,10,27,"Evan_MC_A1_cell709879"
"3886",62,60,109,"Evan_MC_A1_cell710032"
"3887",12,24,99,"Evan_MC_A1_cell710858"
"3888",58,20,58,"Evan_MC_A1_cell710897"
"3889",57,74,113,"Evan_MC_A1_cell710902"
"3890",24,14,49,"Evan_MC_A1_cell710919"
"3891",73,95,21,"Evan_MC_A1_cell711106"
"3892",79,85,10,"Evan_MC_A1_cell711213"
"3893",12,24,77,"Evan_MC_A1_cell711852"
"3894",79,85,107,"Evan_MC_A1_cell712122"
"3895",17,4,42,"Evan_MC_A1_cell712248"
"3896",49,40,92,"Evan_MC_A1_cell712383"
"3897",12,35,66,"Evan_MC_A1_cell712420"
"3898",49,40,92,"Evan_MC_A1_cell712625"
"3899",64,99,3,"Evan_MC_A1_cell712669"
"3900",31,25,75,"Evan_MC_A1_cell712758"
"3901",12,35,6,"Evan_MC_A1_cell712939"
"3902",49,40,92,"Evan_MC_A1_cell712973"
"3903",79,86,10,"Evan_MC_A1_cell713497"
"3904",6,17,27,"Evan_MC_A1_cell713528"
"3905",79,86,9,"Evan_MC_A1_cell713551"
"3906",4,11,93,"Evan_MC_A1_cell713561"
"3907",24,14,49,"Evan_MC_A1_cell714143"
"3908",73,95,21,"Evan_MC_A1_cell714347"
"3909",57,74,113,"Evan_MC_A1_cell714552"
"3910",54,49,95,"Evan_MC_A1_cell714622"
"3911",78,9,31,"Evan_MC_A1_cell715220"
"3912",58,64,58,"Evan_MC_A1_cell715229"
"3913",64,98,3,"Evan_MC_A1_cell715235"
"3914",73,95,21,"Evan_MC_A1_cell715265"
"3915",74,89,17,"Evan_MC_A1_cell715338"
"3916",75,87,117,"Evan_MC_A1_cell715411"
"3917",5,11,30,"Evan_MC_A1_cell716002"
"3918",68,80,120,"Evan_MC_A1_cell716025"
"3919",52,44,105,"Evan_MC_A1_cell716115"
"3920",12,24,99,"Evan_MC_A1_cell716280"
"3921",78,8,31,"Evan_MC_A1_cell716316"
