"","k_10","k_15","k_20","k_25","k_30","k_35","k_40","k_45","k_50","k_55","k_60","k_65","k_70","k_75","k_80","k_85","k_90","k_95","k_100","k_105","k_110","k_115","k_120","k_125","k_130","k_135","k_140","k_145","k_150","cells"
"58",34,41,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell8746"
"59",34,41,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell8878"
"60",36,19,37,42,22,26,6,8,32,4,28,7,9,3,31,3,2,26,12,23,28,17,25,24,3,2,2,24,14,"Evan_MC_A1_cell8911"
"61",49,37,12,6,17,21,10,35,16,29,10,24,19,21,28,1,17,10,26,28,23,15,23,23,9,14,26,16,26,"Evan_MC_A1_cell8919"
"62",24,47,4,13,32,30,17,18,26,24,26,25,3,13,21,17,13,16,18,15,16,10,8,11,15,20,7,7,12,"Evan_MC_A1_cell9244"
"63",33,35,26,21,32,30,26,16,26,9,14,13,1,23,19,22,13,17,18,16,17,10,8,11,15,20,7,7,12,"Evan_MC_A1_cell9863"
"64",22,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_A1_cell9938"
"65",32,27,14,9,6,7,31,14,31,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell9957"
"66",23,1,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell10095"
"67",20,17,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell10101"
"68",6,17,45,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell10199"
"69",53,49,43,36,36,23,16,9,34,22,24,31,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell10282"
"70",64,10,9,29,18,11,36,4,28,2,33,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_A1_cell10456"
"71",26,21,13,3,38,26,20,6,9,3,28,7,29,3,10,3,27,5,6,23,12,17,25,24,3,2,2,11,23,"Evan_MC_A1_cell10774"
"72",45,39,28,39,14,11,36,4,14,2,33,12,5,27,7,18,14,25,21,22,26,23,22,12,16,12,17,8,18,"Evan_MC_A1_cell10831"
"73",49,18,17,35,17,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell11233"
"74",7,53,30,40,15,17,32,26,13,17,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell11419"
"75",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_A1_cell11587"
"76",40,18,17,35,27,22,24,20,16,29,27,23,22,1,28,1,17,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell12608"
"77",20,17,25,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell12821"
"78",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_A1_cell13108"
"79",7,53,30,40,15,17,32,26,13,17,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell13309"
"80",63,7,27,27,37,29,14,21,30,18,15,21,31,20,16,20,20,23,19,6,8,5,17,17,21,17,23,22,19,"Evan_MC_A1_cell13458"
"81",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_A1_cell13710"
"82",32,20,14,9,6,7,31,14,31,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell14222"
"83",23,26,45,31,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell14840"
"84",55,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_A1_cell15128"
"85",22,10,9,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_A1_cell15183"
"86",60,33,19,15,23,28,22,30,29,12,15,21,8,20,16,28,9,8,7,9,6,20,19,19,23,18,20,21,16,"Evan_MC_A1_cell15790"
"87",11,42,2,12,4,1,33,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell15801"
"88",3,8,10,4,39,12,20,6,9,3,5,15,29,5,9,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_A1_cell16028"
"89",55,44,22,20,2,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_A1_cell16191"
"90",25,32,15,14,23,19,8,30,11,12,11,4,8,12,1,28,9,8,7,9,6,20,19,19,23,18,20,21,16,"Evan_MC_A1_cell16328"
"91",3,4,10,1,39,9,20,3,9,10,5,15,4,4,9,11,11,6,4,8,7,7,7,21,12,22,9,12,23,"Evan_MC_A1_cell16417"
"92",18,46,40,25,5,18,27,33,7,16,19,19,21,19,13,5,5,7,22,29,20,9,2,9,4,4,5,4,3,"Evan_MC_A1_cell16450"
"93",16,15,24,7,16,13,29,27,12,7,10,24,19,21,17,21,24,10,25,27,23,15,23,23,24,24,13,13,24,"Evan_MC_A1_cell16639"
"94",51,53,30,40,15,17,32,26,13,17,23,6,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell16705"
"95",39,52,20,26,21,34,25,11,20,19,24,3,12,14,29,9,29,30,20,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell16757"
"96",44,38,6,22,11,32,18,32,25,13,17,26,23,11,22,25,7,15,11,12,3,2,3,1,2,3,3,2,1,"Evan_MC_A1_cell16833"
"97",41,48,30,40,19,1,32,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell16873"
"98",19,10,9,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_A1_cell17090"
"99",15,4,38,1,39,9,7,3,1,10,5,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,10,12,6,"Evan_MC_A1_cell17166"
"100",2,24,3,34,10,3,1,10,6,25,13,8,11,5,8,11,26,9,9,10,7,13,7,6,18,7,12,12,4,"Evan_MC_A1_cell17187"
"101",57,41,35,20,26,25,35,17,10,8,25,27,26,8,23,29,30,11,10,5,15,18,14,15,13,9,24,19,20,"Evan_MC_A1_cell17195"
"102",18,46,40,25,5,18,27,33,7,16,19,19,21,19,13,5,5,7,22,29,20,9,2,9,4,4,5,4,3,"Evan_MC_A1_cell17638"
"103",49,37,12,6,17,21,10,35,16,29,10,24,19,21,28,1,17,10,26,28,23,15,23,23,9,14,26,16,26,"Evan_MC_A1_cell17660"
"104",53,49,43,36,36,34,16,9,34,22,24,31,6,14,29,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell18145"
"105",47,20,32,9,6,7,31,14,31,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell18519"
"106",47,20,32,9,6,7,31,35,16,28,32,30,27,9,5,1,16,29,26,28,9,8,24,26,9,14,26,16,26,"Evan_MC_A1_cell18616"
"107",11,28,31,17,4,16,33,15,13,31,29,6,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell18818"
"108",26,21,13,3,38,26,20,6,9,3,28,7,29,3,10,3,27,5,6,23,12,17,25,24,3,2,2,11,23,"Evan_MC_A1_cell18956"
"109",46,6,47,38,30,24,9,7,3,20,6,28,2,18,6,12,3,4,8,25,25,3,4,3,7,6,27,6,11,"Evan_MC_A1_cell19077"
"110",22,10,9,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_A1_cell19096"
"111",19,10,9,29,18,35,11,24,17,15,30,17,15,22,25,4,18,28,23,26,4,27,20,20,6,13,25,8,18,"Evan_MC_A1_cell19489"
"112",28,25,8,36,36,23,16,9,22,22,24,31,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell20280"
"113",54,48,31,40,19,1,32,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell20412"
"114",62,40,21,10,8,8,13,22,23,27,9,10,14,10,3,8,8,21,2,18,19,16,27,27,26,26,4,3,21,"Evan_MC_A1_cell20606"
"115",45,39,28,39,14,11,36,4,28,2,33,12,5,27,7,18,14,25,21,22,26,23,22,12,16,12,17,8,18,"Evan_MC_A1_cell20732"
"116",6,17,45,5,34,36,5,13,27,14,31,22,24,24,24,26,19,22,29,11,2,14,11,8,10,8,14,15,9,"Evan_MC_A1_cell21196"
"117",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell21268"
"118",15,4,38,1,25,10,7,3,1,10,5,11,4,4,9,11,11,6,4,8,7,13,7,6,12,7,12,12,6,"Evan_MC_A1_cell21715"
"119",41,48,2,12,19,1,32,26,8,31,23,16,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell21735"
"120",43,31,36,29,18,35,4,28,28,23,21,12,5,27,7,16,14,1,21,22,4,27,20,12,6,13,25,8,18,"Evan_MC_A1_cell22498"
"121",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell22708"
"122",31,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_A1_cell22811"
"123",51,53,30,40,15,17,32,26,13,17,23,6,28,7,15,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell22853"
"124",34,22,18,24,3,27,23,1,15,30,12,20,13,25,20,23,21,27,15,3,11,11,16,10,19,25,21,23,17,"Evan_MC_A1_cell23326"
"125",27,34,44,30,28,31,15,29,19,21,4,2,16,16,26,24,28,14,14,14,21,19,18,18,22,10,15,17,13,"Evan_MC_A1_cell23382"
"126",28,25,8,36,36,23,16,9,22,22,24,31,6,14,18,15,22,12,24,20,27,25,9,22,20,19,11,9,8,"Evan_MC_A1_cell23491"
"127",26,21,10,3,38,12,20,6,9,3,5,15,29,5,10,6,27,5,6,17,12,7,10,21,12,22,9,11,23,"Evan_MC_A1_cell23492"
"128",54,51,31,12,4,16,33,15,8,31,23,16,28,7,14,19,15,19,1,19,18,28,15,25,25,16,22,26,25,"Evan_MC_A1_cell23539"
"129",22,50,46,41,7,38,11,24,17,15,30,17,15,22,25,4,18,28,23,26,13,22,20,20,6,13,25,20,22,"Evan_MC_A1_cell23648"
