"","Rsec","RsecT","cells"
"5100",3,3,"SM-GE66P_S040_E1-50"
"5101",-1,19,"SM-GE66P_S041_E1-50"
"5102",-1,19,"SM-GE66P_S042_E1-50"
"5103",19,19,"SM-GE66P_S043_E1-50"
"5104",2,2,"SM-GE66P_S044_E1-50"
"5105",2,2,"SM-GE66P_S045_E1-50"
"5106",-1,19,"SM-GE66P_S046_E1-50"
"5107",-1,21,"SM-GE66P_S047_E1-50"
"5108",-1,14,"SM-GE66P_S048_E1-50"
"5109",14,14,"SM-GE66P_S049_E1-50"
"5110",-1,21,"SM-GE66P_S050_E1-50"
"5111",-1,19,"SM-GE66P_S051_E1-50"
"5112",14,14,"SM-GE66P_S053_E1-50"
"5113",19,19,"SM-GE66P_S054_E1-50"
"5114",-1,19,"SM-GE66P_S055_E1-50"
"5115",19,19,"SM-GE66P_S056_E1-50"
"5116",2,2,"SM-GE66P_S057_E1-50"
"5117",3,3,"SM-GE66P_S058_E1-50"
"5118",-1,10,"SM-GE66P_S059_E1-50"
"5119",2,2,"SM-GE66P_S060_E1-50"
"5120",-1,19,"SM-GE66P_S061_E1-50"
"5121",19,19,"SM-GE66P_S062_E1-50"
"5122",-1,19,"SM-GE66P_S063_E1-50"
"5123",-1,19,"SM-GE66P_S064_E1-50"
"5124",19,19,"SM-GE66P_S065_E1-50"
"5125",1,1,"SM-GE66P_S066_E1-50"
"5126",18,18,"SM-GE66P_S067_E1-50"
"5127",-1,1,"SM-GE66P_S068_E1-50"
"5128",-1,3,"SM-GE66P_S069_E1-50"
"5129",-1,17,"SM-GE66P_S070_E1-50"
"5130",1,1,"SM-GE66P_S071_E1-50"
"5131",-1,1,"SM-GE66P_S072_E1-50"
"5132",-1,17,"SM-GE66P_S073_E1-50"
"5133",12,12,"SM-GE66P_S074_E1-50"
"5134",-1,15,"SM-GE66P_S075_E1-50"
"5135",1,1,"SM-GE66P_S076_E1-50"
"5136",7,7,"SM-GE66P_S077_E1-50"
"5137",9,9,"SM-GE66P_S078_E1-50"
"5138",-1,17,"SM-GE66P_S079_E1-50"
"5139",-1,21,"SM-GE66P_S080_E1-50"
"5140",-1,19,"SM-GE66P_S097_E1-50"
"5141",-1,19,"SM-GE66P_S098_E1-50"
"5142",16,16,"SM-GE66P_S099_E1-50"
"5143",16,16,"SM-GE66P_S100_E1-50"
"5144",-1,21,"SM-GE66P_S101_E1-50"
"5145",18,18,"SM-GE66P_S102_E1-50"
"5146",9,9,"SM-GE66P_S103_E1-50"
"5147",-1,17,"SM-GE66P_S104_E1-50"
"5148",-1,21,"SM-GE66P_S105_E1-50"
"5149",17,17,"SM-GE66P_S106_E1-50"
"5150",19,19,"SM-GE66P_S107_E1-50"
"5151",-1,19,"SM-GE66P_S108_E1-50"
"5152",17,17,"SM-GE66P_S109_E1-50"
"5153",16,16,"SM-GE66P_S110_E1-50"
"5154",-1,21,"SM-GE66P_S111_E1-50"
"5155",-1,17,"SM-GE66P_S112_E1-50"
"5156",-1,10,"SM-GE66P_S121_E1-50"
"5157",3,3,"SM-GE66P_S122_E1-50"
"5158",-1,17,"SM-GE66P_S123_E1-50"
"5159",-1,19,"SM-GE66P_S124_E1-50"
"5160",9,9,"SM-GE66P_S125_E1-50"
"5161",19,19,"SM-GE66P_S126_E1-50"
"5162",13,13,"SM-GE66P_S127_E1-50"
"5163",-1,19,"SM-GE66P_S128_E1-50"
"5164",19,19,"SM-GE66P_S130_E1-50"
"5165",1,1,"SM-GE66P_S131_E1-50"
"5166",18,18,"SM-GE66P_S132_E1-50"
"5167",19,19,"SM-GE66P_S133_E1-50"
"5168",7,7,"SM-GE66P_S134_E1-50"
"5169",-1,17,"SM-GE66P_S135_E1-50"
"5170",7,7,"SM-GE66P_S137_E1-50"
"5171",12,12,"SM-GE66P_S138_E1-50"
"5172",12,12,"SM-GE66P_S139_E1-50"
"5173",18,18,"SM-GE66P_S140_E1-50"
"5174",12,12,"SM-GE66P_S141_E1-50"
"5175",7,7,"SM-GE66P_S142_E1-50"
"5176",7,7,"SM-GE66P_S143_E1-50"
"5177",7,7,"SM-GE66P_S144_E1-50"
"5178",7,7,"SM-GE66P_S145_E1-50"
"5179",1,1,"SM-GE66P_S146_E1-50"
"5180",1,1,"SM-GE66P_S148_E1-50"
"5181",13,13,"SM-GE66P_S149_E1-50"
"5182",7,7,"SM-GE66P_S150_E1-50"
"5183",9,9,"SM-GE66P_S151_E1-50"
"5184",-1,12,"SM-GE66P_S152_E1-50"
"5185",-1,19,"SM-GE66P_S153_E1-50"
"5186",17,17,"SM-GE66P_S154_E1-50"
"5187",-1,19,"SM-GE66P_S155_E1-50"
"5188",-1,19,"SM-GE66P_S156_E1-50"
"5189",19,19,"SM-GE66P_S157_E1-50"
"5190",19,19,"SM-GE66P_S158_E1-50"
"5191",-1,19,"SM-GE66P_S159_E1-50"
"5192",-1,17,"SM-GE66P_S160_E1-50"
"5193",-1,19,"SM-GE66P_S162_E1-50"
"5194",-1,14,"SM-GE66P_S163_E1-50"
"5195",-1,2,"SM-GE66P_S164_E1-50"
"5196",-1,19,"SM-GE66P_S165_E1-50"
"5197",14,14,"SM-GE66P_S166_E1-50"
"5198",14,14,"SM-GE66P_S167_E1-50"
