"","Rsec","RsecT","cells"
"1",7,7,"SM-GE653_S113_E1-50"
"2",13,13,"SM-GE653_S114_E1-50"
"3",7,7,"SM-GE653_S115_E1-50"
"4",13,13,"SM-GE653_S116_E1-50"
"5",18,18,"SM-GE653_S117_E1-50"
"6",-1,3,"SM-GE653_S118_E1-50"
"7",7,7,"SM-GE653_S119_E1-50"
"8",7,7,"SM-GE653_S120_E1-50"
"9",-1,7,"SM-GE653_S121_E1-50"
"10",7,7,"SM-GE653_S122_E1-50"
"11",-1,14,"SM-GE653_S123_E1-50"
"12",13,13,"SM-GE653_S124_E1-50"
"13",-1,12,"SM-GE653_S125_E1-50"
"14",-1,9,"SM-GE653_S126_E1-50"
"15",19,19,"SM-GE653_S127_E1-50"
"16",7,7,"SM-GE653_S128_E1-50"
"17",7,7,"SM-GE653_S129_E1-50"
"18",7,7,"SM-GE653_S130_E1-50"
"19",9,9,"SM-GE653_S131_E1-50"
"20",-1,14,"SM-GE653_S132_E1-50"
"21",-1,17,"SM-GE653_S133_E1-50"
"22",7,7,"SM-GE653_S134_E1-50"
"23",7,7,"SM-GE653_S135_E1-50"
"24",7,7,"SM-GE653_S136_E1-50"
"25",-1,12,"SM-GE653_S137_E1-50"
"26",1,1,"SM-GE653_S138_E1-50"
"27",18,18,"SM-GE653_S139_E1-50"
"28",18,18,"SM-GE653_S140_E1-50"
"29",18,18,"SM-GE653_S141_E1-50"
"30",-1,18,"SM-GE653_S142_E1-50"
"31",-1,3,"SM-GE653_S143_E1-50"
"32",7,7,"SM-GE653_S144_E1-50"
"33",12,12,"SM-GE653_S145_E1-50"
"34",1,1,"SM-GE653_S146_E1-50"
"35",18,18,"SM-GE653_S147_E1-50"
"36",18,18,"SM-GE653_S148_E1-50"
"37",7,7,"SM-GE653_S149_E1-50"
"38",7,7,"SM-GE653_S150_E1-50"
"39",12,12,"SM-GE653_S151_E1-50"
"40",18,18,"SM-GE653_S152_E1-50"
"41",12,12,"SM-GE653_S154_E1-50"
"42",12,12,"SM-GE653_S155_E1-50"
"43",7,7,"SM-GE653_S156_E1-50"
"44",-1,7,"SM-GE653_S157_E1-50"
"45",7,7,"SM-GE653_S158_E1-50"
"46",7,7,"SM-GE653_S159_E1-50"
"47",17,17,"SM-GE653_S160_E1-50"
"48",-1,19,"SM-GE653_S161_E1-50"
"49",10,10,"SM-GE653_S162_E1-50"
"50",-1,3,"SM-GE653_S163_E1-50"
"51",-1,14,"SM-GE653_S164_E1-50"
"52",-1,19,"SM-GE653_S165_E1-50"
"53",21,21,"SM-GE653_S166_E1-50"
"54",-1,19,"SM-GE653_S167_E1-50"
"55",-1,14,"SM-GE653_S168_E1-50"
"56",-1,1,"SM-GE653_S169_E1-50"
"57",1,1,"SM-GE653_S171_E1-50"
"58",-1,14,"SM-GE653_S172_E1-50"
"59",-1,19,"SM-GE653_S173_E1-50"
"60",16,16,"SM-GE653_S174_E1-50"
"61",-1,17,"SM-GE653_S175_E1-50"
"62",-1,14,"SM-GE653_S176_E1-50"
"63",-1,17,"SM-GE653_S178_E1-50"
"64",10,10,"SM-GE653_S179_E1-50"
"65",-1,21,"SM-GE653_S180_E1-50"
"66",21,21,"SM-GE653_S181_E1-50"
"67",-1,3,"SM-GE653_S182_E1-50"
"68",16,16,"SM-GE653_S183_E1-50"
"69",10,10,"SM-GE653_S184_E1-50"
"70",16,16,"SM-GE653_S185_E1-50"
"71",-1,12,"SM-GE653_S187_E1-50"
"72",-1,14,"SM-GE653_S188_E1-50"
"73",-1,21,"SM-GE653_S189_E1-50"
"74",16,16,"SM-GE653_S190_E1-50"
"75",-1,21,"SM-GE653_S191_E1-50"
"76",10,10,"SM-GE653_S192_E1-50"
"77",-1,19,"SM-GE64R_S097_E1-50"
"78",-1,14,"SM-GE64R_S098_E1-50"
"79",-1,9,"SM-GE64R_S099_E1-50"
"80",-1,21,"SM-GE64R_S100_E1-50"
"81",-1,21,"SM-GE64R_S101_E1-50"
"82",17,17,"SM-GE64R_S102_E1-50"
"83",19,19,"SM-GE64R_S103_E1-50"
"84",-1,14,"SM-GE64R_S104_E1-50"
"85",-1,16,"SM-GE64R_S105_E1-50"
"86",19,19,"SM-GE64R_S106_E1-50"
"87",-1,19,"SM-GE64R_S107_E1-50"
"88",-1,21,"SM-GE64R_S108_E1-50"
"89",-1,21,"SM-GE64R_S109_E1-50"
"90",-1,19,"SM-GE64R_S110_E1-50"
"91",-1,19,"SM-GE64R_S111_E1-50"
"92",-1,17,"SM-GE64R_S112_E1-50"
"93",17,17,"SM-GE64R_S113_E1-50"
"94",-1,19,"SM-GE64R_S114_E1-50"
"95",-1,19,"SM-GE64R_S115_E1-50"
"96",-1,19,"SM-GE64R_S116_E1-50"
"97",19,19,"SM-GE64R_S117_E1-50"
"98",19,19,"SM-GE64R_S118_E1-50"
"99",19,19,"SM-GE64R_S119_E1-50"
"100",-1,19,"SM-GE64R_S120_E1-50"
"101",7,7,"SM-GE64R_S121_E1-50"
"102",-1,17,"SM-GE64R_S122_E1-50"
"103",1,1,"SM-GE64R_S123_E1-50"
"104",-1,15,"SM-GE64R_S124_E1-50"
"105",18,18,"SM-GE64R_S125_E1-50"
"106",1,1,"SM-GE64R_S126_E1-50"
"107",7,7,"SM-GE64R_S127_E1-50"
"108",1,1,"SM-GE64R_S128_E1-50"
"109",1,1,"SM-GE64R_S137_E1-50"
"110",7,7,"SM-GE64R_S138_E1-50"
"111",18,18,"SM-GE64R_S139_E1-50"
"112",12,12,"SM-GE64R_S140_E1-50"
"113",18,18,"SM-GE64R_S141_E1-50"
"114",18,18,"SM-GE64R_S142_E1-50"
"115",18,18,"SM-GE64R_S143_E1-50"
"116",7,7,"SM-GE64R_S144_E1-50"
"117",18,18,"SM-GE64R_S145_E1-50"
"118",1,1,"SM-GE64R_S146_E1-50"
"119",7,7,"SM-GE64R_S147_E1-50"
"120",7,7,"SM-GE64R_S148_E1-50"
"121",7,7,"SM-GE64R_S149_E1-50"
"122",12,12,"SM-GE64R_S150_E1-50"
"123",-1,17,"SM-GE64R_S151_E1-50"
"124",18,18,"SM-GE64R_S152_E1-50"
"125",16,16,"SM-GE64R_S153_E1-50"
"126",16,16,"SM-GE64R_S154_E1-50"
"127",-1,10,"SM-GE64R_S155_E1-50"
"128",15,15,"SM-GE64R_S156_E1-50"
"129",16,16,"SM-GE64R_S157_E1-50"
"130",-1,21,"SM-GE64R_S158_E1-50"
"131",-1,17,"SM-GE64R_S159_E1-50"
"132",-1,21,"SM-GE64R_S160_E1-50"
"133",16,16,"SM-GE64R_S161_E1-50"
"134",16,16,"SM-GE64R_S162_E1-50"
"135",19,19,"SM-GE64R_S163_E1-50"
"136",16,16,"SM-GE64R_S164_E1-50"
"137",17,17,"SM-GE64R_S165_E1-50"
"138",10,10,"SM-GE64R_S166_E1-50"
"139",10,10,"SM-GE64R_S167_E1-50"
"140",-1,19,"SM-GE64R_S168_E1-50"
"141",-1,19,"SM-GE64R_S170_E1-50"
"142",16,16,"SM-GE64R_S171_E1-50"
"143",21,21,"SM-GE64R_S173_E1-50"
"144",21,21,"SM-GE64R_S174_E1-50"
"145",-1,12,"SM-GE64R_S175_E1-50"
"146",-1,13,"SM-GE64R_S177_E1-50"
"147",-1,13,"SM-GE64R_S178_E1-50"
"148",16,16,"SM-GE64R_S179_E1-50"
"149",-1,3,"SM-GE64R_S180_E1-50"
"150",16,16,"SM-GE64R_S181_E1-50"
"151",3,3,"SM-GE64R_S182_E1-50"
"152",-1,21,"SM-GE64R_S183_E1-50"
"153",-1,3,"SM-GE64R_S184_E1-50"
"154",-1,12,"SM-GE64R_S185_E1-50"
"155",-1,13,"SM-GE64R_S186_E1-50"
"156",16,16,"SM-GE64R_S187_E1-50"
"157",-1,3,"SM-GE64R_S188_E1-50"
"158",-1,3,"SM-GE64R_S189_E1-50"
"159",-1,3,"SM-GE64R_S190_E1-50"
"160",-1,10,"SM-GE64R_S191_E1-50"
"161",16,16,"SM-GE64R_S192_E1-50"
"162",7,7,"SM-GE64S_S001_E1-50"
"163",-1,19,"SM-GE64S_S002_E1-50"
"164",18,18,"SM-GE64S_S003_E1-50"
"165",7,7,"SM-GE64S_S004_E1-50"
"166",7,7,"SM-GE64S_S005_E1-50"
"167",-1,3,"SM-GE64S_S006_E1-50"
"168",-1,7,"SM-GE64S_S007_E1-50"
"169",18,18,"SM-GE64S_S008_E1-50"
"170",7,7,"SM-GE64S_S009_E1-50"
"171",18,18,"SM-GE64S_S010_E1-50"
"172",18,18,"SM-GE64S_S011_E1-50"
"173",7,7,"SM-GE64S_S012_E1-50"
"174",7,7,"SM-GE64S_S013_E1-50"
"175",7,7,"SM-GE64S_S014_E1-50"
"176",-1,19,"SM-GE64S_S015_E1-50"
"177",7,7,"SM-GE64S_S016_E1-50"
"178",-1,19,"SM-GE64S_S025_E1-50"
"179",-1,14,"SM-GE64S_S026_E1-50"
"180",-1,14,"SM-GE64S_S027_E1-50"
"181",19,19,"SM-GE64S_S028_E1-50"
"182",-1,19,"SM-GE64S_S029_E1-50"
"183",-1,14,"SM-GE64S_S030_E1-50"
"184",18,18,"SM-GE64S_S031_E1-50"
"185",9,9,"SM-GE64S_S032_E1-50"
"186",18,18,"SM-GE64S_S033_E1-50"
"187",-1,17,"SM-GE64S_S034_E1-50"
"188",1,1,"SM-GE64S_S035_E1-50"
"189",-1,13,"SM-GE64S_S036_E1-50"
"190",7,7,"SM-GE64S_S037_E1-50"
"191",12,12,"SM-GE64S_S038_E1-50"
"192",12,12,"SM-GE64S_S039_E1-50"
"193",18,18,"SM-GE64S_S040_E1-50"
"194",1,1,"SM-GE64S_S041_E1-50"
"195",7,7,"SM-GE64S_S042_E1-50"
"196",-1,15,"SM-GE64S_S043_E1-50"
"197",17,17,"SM-GE64S_S044_E1-50"
"198",12,12,"SM-GE64S_S045_E1-50"
"199",7,7,"SM-GE64S_S046_E1-50"
"200",1,1,"SM-GE64S_S047_E1-50"
"201",-1,12,"SM-GE64S_S048_E1-50"
"202",-1,18,"SM-GE64S_S049_E1-50"
"203",1,1,"SM-GE64S_S050_E1-50"
"204",1,1,"SM-GE64S_S051_E1-50"
"205",12,12,"SM-GE64S_S052_E1-50"
"206",12,12,"SM-GE64S_S053_E1-50"
"207",-1,17,"SM-GE64S_S054_E1-50"
"208",1,1,"SM-GE64S_S055_E1-50"
"209",7,7,"SM-GE64S_S056_E1-50"
"210",-1,10,"SM-GE64S_S057_E1-50"
"211",-1,2,"SM-GE64S_S058_E1-50"
"212",-1,19,"SM-GE64S_S059_E1-50"
"213",10,10,"SM-GE64S_S060_E1-50"
"214",-1,21,"SM-GE64S_S061_E1-50"
"215",21,21,"SM-GE64S_S062_E1-50"
"216",-1,19,"SM-GE64S_S063_E1-50"
"217",-1,15,"SM-GE64S_S064_E1-50"
"218",16,16,"SM-GE64S_S066_E1-50"
"219",-1,10,"SM-GE64S_S068_E1-50"
"220",-1,17,"SM-GE64S_S069_E1-50"
"221",10,10,"SM-GE64S_S070_E1-50"
"222",-1,21,"SM-GE64S_S071_E1-50"
"223",-1,19,"SM-GE64S_S072_E1-50"
"224",-1,21,"SM-GE64S_S073_E1-50"
"225",16,16,"SM-GE64S_S074_E1-50"
"226",16,16,"SM-GE64S_S075_E1-50"
"227",-1,2,"SM-GE64S_S076_E1-50"
"228",-1,14,"SM-GE64S_S077_E1-50"
"229",10,10,"SM-GE64S_S078_E1-50"
"230",-1,15,"SM-GE64S_S079_E1-50"
"231",17,17,"SM-GE64S_S080_E1-50"
"232",-1,15,"SM-GE64S_S082_E1-50"
"233",-1,10,"SM-GE64S_S083_E1-50"
"234",-1,12,"SM-GE64S_S084_E1-50"
"235",-1,12,"SM-GE64S_S085_E1-50"
"236",16,16,"SM-GE64S_S086_E1-50"
"237",-1,13,"SM-GE64S_S087_E1-50"
"238",16,16,"SM-GE64S_S088_E1-50"
"239",10,10,"SM-GE64S_S089_E1-50"
"240",-1,16,"SM-GE64S_S090_E1-50"
"241",16,16,"SM-GE64S_S091_E1-50"
"242",-1,13,"SM-GE64S_S092_E1-50"
"243",-1,16,"SM-GE64S_S093_E1-50"
"244",3,3,"SM-GE64S_S094_E1-50"
"245",16,16,"SM-GE64S_S095_E1-50"
"246",-1,10,"SM-GE64S_S096_E1-50"
"247",17,17,"SM-GE64S_S097_E1-50"
"248",-1,19,"SM-GE64S_S098_E1-50"
"249",-1,19,"SM-GE64S_S099_E1-50"
"250",-1,19,"SM-GE64S_S100_E1-50"
"251",-1,19,"SM-GE64S_S101_E1-50"
"252",19,19,"SM-GE64S_S102_E1-50"
"253",-1,19,"SM-GE64S_S103_E1-50"
"254",19,19,"SM-GE64S_S104_E1-50"
"255",-1,14,"SM-GE64S_S105_E1-50"
"256",-1,19,"SM-GE64S_S106_E1-50"
"257",-1,19,"SM-GE64S_S107_E1-50"
"258",17,17,"SM-GE64S_S108_E1-50"
"259",19,19,"SM-GE64S_S109_E1-50"
"260",-1,19,"SM-GE64S_S110_E1-50"
"261",-1,19,"SM-GE64S_S111_E1-50"
"262",19,19,"SM-GE64S_S112_E1-50"
"263",-1,19,"SM-GE64S_S113_E1-50"
"264",17,17,"SM-GE64S_S114_E1-50"
"265",19,19,"SM-GE64S_S115_E1-50"
"266",-1,19,"SM-GE64S_S116_E1-50"
"267",-1,19,"SM-GE64S_S117_E1-50"
"268",-1,19,"SM-GE64S_S118_E1-50"
"269",-1,19,"SM-GE64S_S119_E1-50"
"270",-1,19,"SM-GE64S_S120_E1-50"
"271",12,12,"SM-GE64S_S129_E1-50"
"272",7,7,"SM-GE64S_S130_E1-50"
"273",7,7,"SM-GE64S_S131_E1-50"
"274",12,12,"SM-GE64S_S132_E1-50"
"275",18,18,"SM-GE64S_S133_E1-50"
"276",-1,1,"SM-GE64S_S134_E1-50"
"277",1,1,"SM-GE64S_S135_E1-50"
"278",7,7,"SM-GE64S_S136_E1-50"
"279",12,12,"SM-GE64S_S137_E1-50"
"280",12,12,"SM-GE64S_S138_E1-50"
"281",18,18,"SM-GE64S_S139_E1-50"
"282",17,17,"SM-GE64S_S140_E1-50"
"283",7,7,"SM-GE64S_S141_E1-50"
"284",7,7,"SM-GE64S_S142_E1-50"
"285",12,12,"SM-GE64S_S143_E1-50"
"286",-1,12,"SM-GE64S_S144_E1-50"
"287",12,12,"SM-GE64S_S145_E1-50"
"288",-1,17,"SM-GE64S_S146_E1-50"
"289",17,17,"SM-GE64S_S147_E1-50"
"290",7,7,"SM-GE64S_S148_E1-50"
"291",1,1,"SM-GE64S_S149_E1-50"
"292",-1,21,"SM-GE64S_S150_E1-50"
"293",7,7,"SM-GE64S_S151_E1-50"
"294",7,7,"SM-GE64S_S152_E1-50"
"295",-1,19,"SM-GE64S_S153_E1-50"
"296",10,10,"SM-GE64S_S154_E1-50"
"297",16,16,"SM-GE64S_S155_E1-50"
"298",-1,10,"SM-GE64S_S156_E1-50"
"299",10,10,"SM-GE64S_S157_E1-50"
"300",-1,3,"SM-GE64S_S158_E1-50"
"301",16,16,"SM-GE64S_S159_E1-50"
"302",-1,19,"SM-GE64S_S161_E1-50"
"303",-1,21,"SM-GE64S_S162_E1-50"
"304",-1,17,"SM-GE64S_S163_E1-50"
"305",-1,19,"SM-GE64S_S165_E1-50"
"306",10,10,"SM-GE64S_S166_E1-50"
"307",-1,2,"SM-GE64S_S167_E1-50"
"308",10,10,"SM-GE64S_S168_E1-50"
"309",-1,3,"SM-GE64S_S169_E1-50"
"310",16,16,"SM-GE64S_S170_E1-50"
"311",-1,2,"SM-GE64S_S171_E1-50"
"312",-1,21,"SM-GE64S_S173_E1-50"
"313",-1,16,"SM-GE64S_S174_E1-50"
"314",-1,19,"SM-GE64S_S175_E1-50"
"315",-1,16,"SM-GE64S_S177_E1-50"
"316",-1,12,"SM-GE64S_S178_E1-50"
"317",-1,19,"SM-GE64S_S179_E1-50"
"318",-1,10,"SM-GE64S_S180_E1-50"
"319",-1,1,"SM-GE64S_S181_E1-50"
"320",16,16,"SM-GE64S_S182_E1-50"
"321",-1,3,"SM-GE64S_S183_E1-50"
"322",16,16,"SM-GE64S_S184_E1-50"
"323",16,16,"SM-GE64S_S185_E1-50"
"324",-1,3,"SM-GE64S_S186_E1-50"
"325",16,16,"SM-GE64S_S187_E1-50"
"326",-1,10,"SM-GE64S_S188_E1-50"
"327",-1,10,"SM-GE64S_S189_E1-50"
"328",3,3,"SM-GE64S_S190_E1-50"
"329",-1,16,"SM-GE64S_S192_E1-50"
"330",12,12,"SM-GE64T_S001_E1-50"
"331",1,1,"SM-GE64T_S002_E1-50"
"332",13,13,"SM-GE64T_S003_E1-50"
"333",-1,18,"SM-GE64T_S004_E1-50"
"334",17,17,"SM-GE64T_S005_E1-50"
"335",1,1,"SM-GE64T_S006_E1-50"
"336",12,12,"SM-GE64T_S007_E1-50"
"337",7,7,"SM-GE64T_S008_E1-50"
"338",-1,18,"SM-GE64T_S009_E1-50"
"339",7,7,"SM-GE64T_S010_E1-50"
"340",-1,18,"SM-GE64T_S011_E1-50"
"341",7,7,"SM-GE64T_S012_E1-50"
"342",7,7,"SM-GE64T_S013_E1-50"
"343",1,1,"SM-GE64T_S014_E1-50"
"344",-1,1,"SM-GE64T_S015_E1-50"
"345",18,18,"SM-GE64T_S016_E1-50"
"346",12,12,"SM-GE64T_S017_E1-50"
"347",1,1,"SM-GE64T_S018_E1-50"
"348",7,7,"SM-GE64T_S019_E1-50"
"349",-1,1,"SM-GE64T_S020_E1-50"
"350",1,1,"SM-GE64T_S021_E1-50"
"351",18,18,"SM-GE64T_S022_E1-50"
"352",7,7,"SM-GE64T_S023_E1-50"
"353",18,18,"SM-GE64T_S024_E1-50"
"354",7,7,"SM-GE64T_S025_E1-50"
"355",1,1,"SM-GE64T_S026_E1-50"
"356",12,12,"SM-GE64T_S027_E1-50"
"357",7,7,"SM-GE64T_S028_E1-50"
"358",-1,17,"SM-GE64T_S029_E1-50"
"359",-1,12,"SM-GE64T_S030_E1-50"
"360",18,18,"SM-GE64T_S031_E1-50"
"361",18,18,"SM-GE64T_S032_E1-50"
"362",-1,1,"SM-GE64T_S033_E1-50"
"363",-1,13,"SM-GE64T_S034_E1-50"
"364",18,18,"SM-GE64T_S035_E1-50"
"365",12,12,"SM-GE64T_S036_E1-50"
"366",12,12,"SM-GE64T_S037_E1-50"
"367",18,18,"SM-GE64T_S038_E1-50"
"368",-1,17,"SM-GE64T_S039_E1-50"
"369",12,12,"SM-GE64T_S040_E1-50"
"370",18,18,"SM-GE64T_S049_E1-50"
"371",1,1,"SM-GE64T_S050_E1-50"
"372",-1,2,"SM-GE64T_S051_E1-50"
"373",12,12,"SM-GE64T_S052_E1-50"
"374",18,18,"SM-GE64T_S053_E1-50"
"375",18,18,"SM-GE64T_S054_E1-50"
"376",18,18,"SM-GE64T_S055_E1-50"
"377",-1,17,"SM-GE64T_S056_E1-50"
"378",16,16,"SM-GE64T_S057_E1-50"
"379",-1,19,"SM-GE64T_S058_E1-50"
"380",10,10,"SM-GE64T_S059_E1-50"
"381",-1,19,"SM-GE64T_S060_E1-50"
"382",-1,19,"SM-GE64T_S062_E1-50"
"383",16,16,"SM-GE64T_S063_E1-50"
"384",16,16,"SM-GE64T_S065_E1-50"
"385",-1,17,"SM-GE64T_S067_E1-50"
"386",-1,19,"SM-GE64T_S068_E1-50"
"387",-1,3,"SM-GE64T_S069_E1-50"
"388",-1,19,"SM-GE64T_S071_E1-50"
"389",10,10,"SM-GE64T_S072_E1-50"
"390",-1,16,"SM-GE64T_S073_E1-50"
"391",16,16,"SM-GE64T_S074_E1-50"
"392",-1,21,"SM-GE64T_S075_E1-50"
"393",-1,21,"SM-GE64T_S076_E1-50"
"394",21,21,"SM-GE64T_S077_E1-50"
"395",16,16,"SM-GE64T_S078_E1-50"
"396",10,10,"SM-GE64T_S079_E1-50"
"397",16,16,"SM-GE64T_S080_E1-50"
"398",-1,13,"SM-GE64T_S081_E1-50"
"399",1,1,"SM-GE64T_S082_E1-50"
"400",15,15,"SM-GE64T_S083_E1-50"
"401",16,16,"SM-GE64T_S084_E1-50"
"402",12,12,"SM-GE64T_S085_E1-50"
"403",7,7,"SM-GE64T_S086_E1-50"
"404",-1,7,"SM-GE64T_S087_E1-50"
"405",16,16,"SM-GE64T_S088_E1-50"
"406",7,7,"SM-GE64T_S089_E1-50"
"407",-1,3,"SM-GE64T_S090_E1-50"
"408",-1,15,"SM-GE64T_S091_E1-50"
"409",7,7,"SM-GE64T_S092_E1-50"
"410",1,1,"SM-GE64T_S093_E1-50"
"411",-1,21,"SM-GE64T_S094_E1-50"
"412",12,12,"SM-GE64T_S095_E1-50"
"413",-1,3,"SM-GE64T_S096_E1-50"
"414",16,16,"SM-GE64T_S153_E1-50"
"415",-1,19,"SM-GE64T_S154_E1-50"
"416",-1,21,"SM-GE64T_S155_E1-50"
"417",16,16,"SM-GE64T_S156_E1-50"
"418",10,10,"SM-GE64T_S157_E1-50"
"419",-1,2,"SM-GE64T_S158_E1-50"
"420",19,19,"SM-GE64T_S159_E1-50"
"421",10,10,"SM-GE64T_S160_E1-50"
"422",15,15,"SM-GE64T_S162_E1-50"
"423",-1,21,"SM-GE64T_S163_E1-50"
"424",15,15,"SM-GE64T_S164_E1-50"
"425",-1,21,"SM-GE64T_S165_E1-50"
"426",3,3,"SM-GE64T_S166_E1-50"
"427",16,16,"SM-GE64T_S167_E1-50"
"428",-1,14,"SM-GE64T_S168_E1-50"
"429",13,13,"SM-GE64T_S170_E1-50"
"430",3,3,"SM-GE64T_S171_E1-50"
"431",13,13,"SM-GE64T_S172_E1-50"
"432",13,13,"SM-GE64T_S174_E1-50"
"433",1,1,"SM-GE64T_S175_E1-50"
"434",-1,12,"SM-GE64T_S176_E1-50"
"435",-1,16,"SM-GE64T_S177_E1-50"
"436",10,10,"SM-GE64T_S178_E1-50"
"437",-1,12,"SM-GE64T_S179_E1-50"
"438",-1,12,"SM-GE64T_S180_E1-50"
"439",-1,9,"SM-GE64T_S181_E1-50"
"440",18,18,"SM-GE64T_S183_E1-50"
"441",1,1,"SM-GE64T_S184_E1-50"
"442",12,12,"SM-GE64T_S185_E1-50"
"443",16,16,"SM-GE64T_S186_E1-50"
"444",12,12,"SM-GE64T_S187_E1-50"
"445",15,15,"SM-GE64T_S188_E1-50"
"446",-1,1,"SM-GE64T_S189_E1-50"
"447",16,16,"SM-GE64T_S191_E1-50"
"448",3,3,"SM-GE64T_S192_E1-50"
"449",3,3,"SM-GE64U_S097_E1-50"
"450",-1,17,"SM-GE64U_S099_E1-50"
"451",-1,15,"SM-GE64U_S100_E1-50"
"452",12,12,"SM-GE64U_S101_E1-50"
"453",-1,16,"SM-GE64U_S102_E1-50"
"454",-1,3,"SM-GE64U_S103_E1-50"
"455",1,1,"SM-GE64U_S104_E1-50"
"456",-1,16,"SM-GE64U_S105_E1-50"
"457",-1,17,"SM-GE64U_S106_E1-50"
"458",1,1,"SM-GE64U_S107_E1-50"
"459",-1,3,"SM-GE64U_S108_E1-50"
"460",-1,16,"SM-GE64U_S110_E1-50"
"461",18,18,"SM-GE64U_S111_E1-50"
"462",-1,21,"SM-GE64U_S112_E1-50"
"463",-1,17,"SM-GE64U_S113_E1-50"
"464",-1,17,"SM-GE64U_S114_E1-50"
"465",-1,17,"SM-GE64U_S115_E1-50"
"466",18,18,"SM-GE64U_S116_E1-50"
"467",-1,21,"SM-GE64U_S117_E1-50"
"468",18,18,"SM-GE64U_S118_E1-50"
"469",11,11,"SM-GE64U_S119_E1-50"
"470",12,12,"SM-GE64U_S120_E1-50"
"471",19,19,"SM-GE64U_S122_E1-50"
"472",-1,17,"SM-GE64U_S124_E1-50"
"473",-1,3,"SM-GE64U_S125_E1-50"
"474",14,14,"SM-GE64U_S126_E1-50"
"475",3,3,"SM-GE64U_S127_E1-50"
"476",-1,12,"SM-GE64U_S128_E1-50"
"477",19,19,"SM-GE64U_S129_E1-50"
"478",-1,19,"SM-GE64U_S130_E1-50"
"479",-1,21,"SM-GE64U_S131_E1-50"
"480",17,17,"SM-GE64U_S132_E1-50"
"481",14,14,"SM-GE64U_S133_E1-50"
"482",-1,19,"SM-GE64U_S135_E1-50"
"483",14,14,"SM-GE64U_S136_E1-50"
"484",2,2,"SM-GE64U_S137_E1-50"
"485",-1,17,"SM-GE64U_S138_E1-50"
"486",14,14,"SM-GE64U_S139_E1-50"
"487",14,14,"SM-GE64U_S140_E1-50"
"488",-1,21,"SM-GE64U_S141_E1-50"
"489",-1,19,"SM-GE64U_S142_E1-50"
"490",17,17,"SM-GE64U_S143_E1-50"
"491",17,17,"SM-GE64U_S144_E1-50"
"492",1,1,"SM-GE64U_S145_E1-50"
"493",1,1,"SM-GE64U_S146_E1-50"
"494",1,1,"SM-GE64U_S148_E1-50"
"495",17,17,"SM-GE64U_S149_E1-50"
"496",-1,10,"SM-GE64U_S150_E1-50"
"497",12,12,"SM-GE64U_S151_E1-50"
"498",3,3,"SM-GE64U_S152_E1-50"
"499",1,1,"SM-GE64U_S154_E1-50"
"500",17,17,"SM-GE64U_S155_E1-50"
"501",17,17,"SM-GE64U_S156_E1-50"
"502",17,17,"SM-GE64U_S157_E1-50"
"503",13,13,"SM-GE64U_S158_E1-50"
"504",1,1,"SM-GE64U_S159_E1-50"
"505",7,7,"SM-GE64U_S160_E1-50"
"506",12,12,"SM-GE64U_S169_E1-50"
"507",3,3,"SM-GE64U_S170_E1-50"
"508",1,1,"SM-GE64U_S171_E1-50"
"509",-1,17,"SM-GE64U_S172_E1-50"
"510",17,17,"SM-GE64U_S173_E1-50"
"511",12,12,"SM-GE64U_S174_E1-50"
"512",-1,12,"SM-GE64U_S175_E1-50"
"513",12,12,"SM-GE64U_S176_E1-50"
"514",16,16,"SM-GE64U_S177_E1-50"
"515",-1,17,"SM-GE64U_S178_E1-50"
"516",-1,1,"SM-GE64U_S179_E1-50"
"517",-1,3,"SM-GE64U_S180_E1-50"
"518",-1,17,"SM-GE64U_S181_E1-50"
"519",-1,3,"SM-GE64U_S182_E1-50"
"520",3,3,"SM-GE64U_S183_E1-50"
"521",16,16,"SM-GE64U_S184_E1-50"
"522",-1,19,"SM-GE64U_S185_E1-50"
"523",-1,17,"SM-GE64U_S187_E1-50"
"524",16,16,"SM-GE64U_S188_E1-50"
"525",18,18,"SM-GE64U_S189_E1-50"
"526",18,18,"SM-GE64U_S190_E1-50"
"527",3,3,"SM-GE64U_S191_E1-50"
"528",-1,16,"SM-GE64U_S192_E1-50"
"529",13,13,"SM-GE64V_S001_E1-50"
"530",-1,10,"SM-GE64V_S002_E1-50"
"531",-1,15,"SM-GE64V_S003_E1-50"
"532",7,7,"SM-GE64V_S004_E1-50"
"533",-1,15,"SM-GE64V_S005_E1-50"
"534",-1,15,"SM-GE64V_S007_E1-50"
"535",7,7,"SM-GE64V_S008_E1-50"
"536",7,7,"SM-GE64V_S009_E1-50"
"537",10,10,"SM-GE64V_S010_E1-50"
"538",3,3,"SM-GE64V_S011_E1-50"
"539",12,12,"SM-GE64V_S012_E1-50"
"540",12,12,"SM-GE64V_S013_E1-50"
"541",10,10,"SM-GE64V_S014_E1-50"
"542",18,18,"SM-GE64V_S015_E1-50"
"543",12,12,"SM-GE64V_S016_E1-50"
"544",14,14,"SM-GE64V_S017_E1-50"
"545",-1,17,"SM-GE64V_S018_E1-50"
"546",3,3,"SM-GE64V_S019_E1-50"
"547",14,14,"SM-GE64V_S020_E1-50"
"548",-1,19,"SM-GE64V_S021_E1-50"
"549",-1,17,"SM-GE64V_S024_E1-50"
"550",9,9,"SM-GE64V_S025_E1-50"
"551",-1,3,"SM-GE64V_S026_E1-50"
"552",2,2,"SM-GE64V_S027_E1-50"
"553",17,17,"SM-GE64V_S028_E1-50"
