"","-25","-24","-23","-22","-21","-20","-19","-18","-17","-16","-15","-14","-13","-12","-11","-10","-9","-8","-7","-6","-5","-4","-3","-2","-1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","cells"
"1",2,3,4,2,2,3,3,6,8,9,8,12,10,15,11,17,16,19,18,15,20,19,21,24,24,17,21,26,24,22,24,26,30,27,22,26,25,22,31,31,30,30,31,36,32,24,"LS-15395_S41_E1-50"
"2",2,3,4,2,2,3,3,6,8,9,8,12,10,15,11,17,16,19,18,15,20,19,21,24,24,17,21,26,24,22,24,26,30,27,22,26,25,22,31,31,30,30,31,36,32,24,"LS-15395_S42_E1-50"
"3",2,2,2,5,6,3,3,6,7,9,8,13,9,14,9,16,17,17,20,18,22,17,24,21,22,22,28,22,22,31,28,30,23,34,26,33,36,31,37,28,35,37,42,42,40,33,"LS-15395_S43_E1-50"
"4",2,2,2,5,2,3,3,6,7,9,8,13,9,14,9,16,17,17,20,18,22,17,24,22,23,23,26,23,28,28,26,27,29,31,29,29,28,33,36,34,32,32,35,37,34,28,"LS-15395_S44_E1-50"
"5",2,3,3,2,3,2,4,9,10,11,5,5,6,9,13,12,10,11,11,20,14,21,16,15,17,24,16,17,18,19,19,18,16,21,21,23,14,20,23,20,19,23,25,26,16,21,"LS-15395_S46_E1-50"
"6",1,1,1,3,5,5,7,5,5,5,12,10,14,12,7,14,14,13,15,12,17,14,17,17,26,18,25,28,27,25,32,33,26,29,33,37,32,26,35,37,38,41,40,39,45,32,"LS-15395_S47_E1-50"
"7",2,3,3,2,3,2,4,9,10,11,5,5,6,9,13,12,10,11,11,20,14,21,16,15,17,24,16,17,18,19,19,18,16,21,21,23,14,20,23,20,19,23,25,26,16,21,"LS-15395_S48_E1-50"
"8",1,3,4,2,2,3,3,6,8,9,8,11,11,13,8,15,12,15,19,16,19,16,20,20,18,15,18,19,20,23,22,22,20,25,24,28,26,23,29,25,31,31,32,33,33,25,"LS-15395_S49_E1-50"
"9",2,3,3,2,3,2,4,9,10,11,5,5,6,9,13,12,10,11,11,20,14,21,16,15,17,24,16,17,18,19,19,18,16,21,21,23,14,20,23,20,19,23,25,26,16,21,"LS-15395_S50_E1-50"
"10",2,3,4,2,2,3,3,6,8,9,8,12,10,15,11,17,16,19,18,15,20,19,21,24,24,17,21,26,24,22,24,26,30,27,22,26,25,22,31,31,30,30,31,36,32,24,"LS-15395_S51_E1-50"
"11",2,2,2,5,2,3,3,6,7,9,8,13,9,14,9,16,17,17,20,18,22,17,24,22,23,23,26,23,28,28,26,27,29,31,29,29,28,33,36,34,32,32,35,37,34,28,"LS-15395_S52_E1-50"
"12",2,3,4,2,2,3,3,6,8,9,8,12,10,15,11,17,13,19,17,15,20,20,22,25,19,16,22,25,29,29,25,24,28,33,23,31,35,35,40,33,34,34,41,45,36,38,"LS-15395_S53_E1-50"
"13",2,3,3,1,1,1,1,1,2,3,2,2,3,2,2,2,2,4,3,4,3,6,3,4,8,9,9,4,4,11,6,5,8,6,6,7,6,6,7,10,6,10,6,11,8,14,"LS-15395_S54_E1-50"
"14",2,3,4,2,2,3,3,6,8,9,8,12,10,15,11,17,13,19,17,15,20,20,22,25,19,16,22,25,29,29,25,24,28,33,23,31,35,35,40,33,34,34,41,45,36,38,"LS-15395_S55_E1-50"
"15",2,3,3,1,1,1,1,1,2,3,2,2,2,2,3,3,4,6,4,6,6,4,4,8,7,3,4,6,6,8,11,11,4,10,12,11,17,9,11,14,26,18,18,19,21,7,"LS-15395_S56_E1-50"
"16",2,3,3,2,3,2,4,9,10,11,5,5,6,9,13,12,10,11,11,20,14,21,16,15,17,24,16,17,18,19,19,18,16,21,21,23,14,20,23,20,19,22,26,26,16,21,"LS-15396_S41_E1-50"
"17",2,3,3,2,3,2,4,9,10,11,5,5,6,9,13,12,10,11,11,20,14,21,16,15,17,24,16,17,18,19,19,18,16,21,21,23,14,20,23,20,19,22,26,26,16,21,"LS-15396_S42_E1-50"
"18",1,1,1,3,5,5,7,5,5,5,12,10,14,12,7,14,15,14,14,11,18,13,19,18,25,19,23,27,25,27,30,32,24,28,30,35,29,24,32,35,37,39,37,38,42,29,"LS-15396_S43_E1-50"
"19",2,3,3,2,3,2,4,9,10,11,5,5,6,9,13,12,10,11,11,20,14,21,16,15,17,24,16,17,18,19,19,18,16,21,21,23,14,20,23,20,19,23,25,26,16,21,"LS-15396_S45_E1-50"
"20",2,3,4,2,2,4,2,6,6,7,6,3,4,7,4,9,8,9,8,9,7,7,8,12,11,10,12,11,13,14,13,12,12,17,15,18,13,14,21,18,14,11,13,13,12,44,"LS-15396_S46_E1-50"
"21",2,3,3,1,1,1,1,1,2,3,2,2,3,2,2,3,5,3,4,4,4,4,7,3,4,7,4,7,8,9,10,6,4,10,9,9,19,8,9,7,22,21,21,19,23,10,"LS-15396_S47_E1-50"
"22",2,3,4,2,2,3,3,6,8,9,8,12,10,15,11,17,16,19,18,15,20,19,21,24,24,17,21,26,24,22,24,26,30,27,22,26,25,22,31,31,30,30,31,36,32,24,"LS-15396_S48_E1-50"
"23",2,3,3,1,1,1,1,1,2,3,2,2,2,3,3,3,4,6,4,6,6,4,4,8,7,3,4,6,6,8,12,11,5,7,12,8,17,10,12,12,26,18,20,21,22,7,"LS-15396_S49_E1-50"
"24",2,3,3,1,1,1,1,1,2,3,2,2,2,2,3,3,4,6,4,6,6,4,4,8,7,3,4,6,6,8,11,11,4,9,11,11,17,9,11,13,26,18,20,21,22,7,"LS-15396_S52_E1-50"
