"2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "cells"
"38" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S74_E1-50"
"39" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15396_S75_E1-50"
"40" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S76_E1-50"
"41" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S77_E1-50"
"42" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 13 11 16 17 17 20 14 26 17 "LS-15396_S78_E1-50"
"43" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S79_E1-50"
"44" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 14 12 17 16 19 19 12 24 16 "LS-15396_S80_E1-50"
"45" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 3 4 3 7 3 8 4 5 4 4 "LS-15396_S81_E1-50"
"46" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S82_E1-50"
"47" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15396_S83_E1-50"
"48" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S84_E1-50"
"49" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S85_E1-50"
"50" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 13 11 16 17 17 20 14 26 17 "LS-15396_S86_E1-50"
"51" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15396_S87_E1-50"
"52" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15396_S88_E1-50"
"53" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 14 9 14 12 17 16 19 19 12 24 16 "LS-15398_S17_E1-50"
"54" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15398_S18_E1-50"
"55" 2 3 1 3 4 5 8 7 4 11 12 6 11 11 12 15 9 14 12 17 17 18 20 13 25 20 "LS-15398_S19_E1-50"
"56" 1 1 3 2 1 1 1 1 2 2 3 2 4 2 4 3 2 6 5 5 6 4 9 4 8 9 "LS-15398_S20_E1-50"
"57" 1 1 3 2 2 2 4 4 8 9 4 3 6 7 7 7 5 7 7 10 8 11 12 7 11 13 "LS-15398_S21_E1-50"
"58" 1 1 3 2 1 1 1 1 2 2 3 2 3 3 3 2 4 3 3 7 4 7 5 6 5 5 "LS-15398_S22_E1-50"
"59" 2 2 4 1 5 3 3 3 7 8 9 13 13 12 16 12 11 15 13 20 18 20 18 15 22 21 "LS-15398_S23_E1-50"
"60" 2 3 1 3 4 5 8 3 4 11 12 6 11 11 12 14 9 14 12 17 16 19 19 12 24 16 "LS-15398_S24_E1-50"
