"2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "cells"
"35" 1 1 4 5 5 7 6 7 9 4 6 7 9 14 11 8 16 15 20 13 11 14 20 16 20 18 21 22 18 "SM-GE653_S147_E1-50"
"36" 1 1 4 5 5 7 6 7 9 4 6 7 9 14 11 8 16 15 20 13 11 14 20 16 20 18 21 22 18 "SM-GE653_S148_E1-50"
"37" 1 1 4 5 5 7 5 7 9 3 5 6 8 13 10 10 14 13 13 12 10 15 16 13 18 12 13 17 14 "SM-GE653_S149_E1-50"
"38" 1 1 4 5 5 7 5 7 9 3 5 6 8 13 10 10 14 13 13 12 10 15 16 13 18 12 13 17 14 "SM-GE653_S150_E1-50"
"39" 2 1 4 4 6 6 7 9 10 6 4 4 7 12 6 9 13 14 19 11 9 16 19 14 19 13 14 21 15 "SM-GE653_S151_E1-50"
"40" 1 1 4 5 5 7 6 7 9 4 6 8 9 15 12 14 15 19 14 18 18 22 24 20 26 21 24 26 20 "SM-GE653_S152_E1-50"
"41" 2 1 4 4 6 6 7 9 10 6 4 4 7 12 6 9 13 14 19 11 9 16 19 14 19 13 14 21 15 "SM-GE653_S154_E1-50"
"42" 1 1 4 5 5 7 6 7 9 4 6 7 9 14 11 8 16 15 20 13 11 23 24 21 25 17 24 29 18 "SM-GE653_S155_E1-50"
"43" 1 1 4 5 5 7 5 7 9 3 5 6 8 13 10 10 14 13 13 12 10 15 16 13 18 12 13 17 14 "SM-GE653_S156_E1-50"
"44" 2 1 4 4 6 6 7 9 10 6 4 4 7 12 6 9 13 14 19 11 9 16 19 14 19 13 14 21 15 "SM-GE653_S157_E1-50"
"45" 1 1 4 5 5 7 5 7 9 3 5 6 8 13 10 10 14 13 13 12 10 15 16 13 18 12 13 17 14 "SM-GE653_S158_E1-50"
"46" 1 1 4 5 5 7 5 7 9 3 5 6 8 13 10 10 14 13 13 12 10 15 16 13 18 12 13 17 14 "SM-GE653_S159_E1-50"
"47" 2 3 2 1 1 3 3 3 3 11 12 10 11 3 13 5 6 7 7 7 7 7 7 7 11 9 8 7 10 "SM-GE653_S160_E1-50"
"48" 2 3 2 1 1 3 4 4 5 9 9 12 14 7 15 17 7 10 9 19 20 10 13 23 16 22 26 14 28 "SM-GE653_S161_E1-50"
"49" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 2 2 3 3 2 4 1 2 3 3 1 3 3 "SM-GE653_S162_E1-50"
"50" 2 1 3 3 6 4 8 6 7 5 6 8 6 10 9 13 18 19 16 16 15 21 22 17 23 19 15 23 23 "SM-GE653_S163_E1-50"
"51" 2 3 2 1 1 3 4 4 6 10 10 12 14 7 15 17 7 10 9 19 20 10 13 22 16 22 26 13 26 "SM-GE653_S164_E1-50"
"52" 2 3 2 1 1 3 4 4 6 10 10 12 14 7 15 17 7 10 9 19 20 10 13 22 16 22 26 13 26 "SM-GE653_S165_E1-50"
"53" 2 3 2 1 1 3 4 4 5 9 9 13 12 5 14 15 8 8 10 20 19 11 10 25 13 24 25 15 27 "SM-GE653_S166_E1-50"
"54" 2 3 2 1 1 3 4 4 5 9 9 13 12 5 14 15 8 8 10 20 19 11 10 25 13 24 25 15 27 "SM-GE653_S167_E1-50"
"55" 2 3 2 1 1 3 4 4 5 9 9 13 12 5 14 15 8 8 10 20 19 11 10 25 13 24 25 15 27 "SM-GE653_S168_E1-50"
"56" 2 2 3 3 4 4 8 6 8 5 6 5 6 10 7 11 3 17 15 17 16 20 23 15 24 20 22 24 24 "SM-GE653_S169_E1-50"
"57" 2 1 4 4 6 6 7 8 10 7 3 3 3 4 5 7 12 12 12 9 8 12 14 11 17 10 11 10 12 "SM-GE653_S171_E1-50"
"58" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 2 2 3 3 2 4 1 2 3 3 1 3 3 "SM-GE653_S172_E1-50"
"59" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 1 1 4 1 1 1 2 1 2 1 3 2 2 "SM-GE653_S173_E1-50"
"60" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 2 2 3 3 2 4 1 2 3 3 1 3 3 "SM-GE653_S174_E1-50"
"61" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 2 2 3 3 2 4 1 2 3 3 1 3 3 "SM-GE653_S175_E1-50"
"62" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 2 2 3 3 2 4 1 2 3 3 1 3 3 "SM-GE653_S176_E1-50"
"63" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 2 2 3 3 2 4 1 2 3 3 1 3 3 "SM-GE653_S178_E1-50"
"64" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 1 1 4 1 1 1 2 1 2 1 3 2 2 "SM-GE653_S179_E1-50"
"65" 2 2 3 3 2 1 1 1 2 1 1 1 1 1 1 1 1 1 4 1 1 1 2 1 2 1 3 2 2 "SM-GE653_S180_E1-50"
