0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
11,16,13,20,11,9,8,8,6,6,6,5,5,5,5,5,1,1,1,1
20,16,13,20,11,9,8,8,6,6,6,5,5,5,5,5,1,1,1,1
8,6,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,6,6,6,5,5,5,4,4,4,4,4,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
11,16,13,20,11,9,8,8,6,6,6,5,5,5,5,5,1,1,1,1
7,5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,16,13,20,11,9,8,8,6,6,6,5,5,5,5,5,1,1,1,1
60,37,30,19,10,8,7,7,7,7,7,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,12,10,7,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
2,2,2,2,2,6,6,6,5,5,5,4,4,4,4,4,1,1,1,1
15,12,10,7,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
20,16,13,20,11,9,8,8,6,6,6,5,5,5,5,5,1,1,1,1
12,9,7,7,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
15,12,10,7,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
15,12,10,7,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
6,11,9,6,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
15,12,10,7,4,2,2,2,7,7,7,1,1,1,1,1,1,1,1,1
25,20,19,13,8,6,6,6,5,5,5,4,4,4,4,4,1,1,1,1
1,1,1,1,1,6,6,6,5,5,5,4,4,4,4,4,1,1,1,1
