"","cells","x","y"
"1","SM-GE653_S113_E1-50",-25.0351948404563,-21.9527244594899
"2","SM-GE653_S114_E1-50",-16.4953326468748,-15.1483704214907
"3","SM-GE653_S115_E1-50",-24.8200017595897,-26.581934967663
"4","SM-GE653_S116_E1-50",-23.0126062892143,-8.53373518976896
"5","SM-GE653_S117_E1-50",-25.8038278638566,-21.0386535863827
"6","SM-GE653_S118_E1-50",-26.2065306872537,-16.8322868445777
"7","SM-GE653_S119_E1-50",-18.252237863848,-24.825520803156
"8","SM-GE653_S120_E1-50",-25.5921502006003,-21.2978896150836
"9","SM-GE653_S121_E1-50",-24.3649640230455,-26.4408866173868
"10","SM-GE653_S122_E1-50",-26.6468392812666,-20.6486143647365
"11","SM-GE653_S123_E1-50",25.2113729172941,-20.1288661688044
"12","SM-GE653_S124_E1-50",-15.6079290352203,-14.0444536381301
"13","SM-GE653_S125_E1-50",-27.1120417952387,-16.8785428232368
"14","SM-GE653_S126_E1-50",-24.6841968493051,-9.86930505913382
"15","SM-GE653_S127_E1-50",37.447348419954,-15.5497458757661
"16","SM-GE653_S128_E1-50",-17.3535447091074,-23.1800530993857
"17","SM-GE653_S129_E1-50",-25.8818817360637,-22.542522862581
"18","SM-GE653_S130_E1-50",-22.4409329900421,-26.6971409397283
"19","SM-GE653_S131_E1-50",-11.8309191362022,-7.65356399047718
"20","SM-GE653_S132_E1-50",38.3245616705422,-9.16497418673131
"21","SM-GE653_S133_E1-50",30.0585974438114,-8.71586402554709
"22","SM-GE653_S134_E1-50",-19.908306281257,-23.5573161667989
"23","SM-GE653_S135_E1-50",-24.9428307667935,-20.615053021937
"24","SM-GE653_S136_E1-50",-15.7238750438882,-19.8873898973881
"25","SM-GE653_S137_E1-50",-41.2992511822922,1.97868669747868
"26","SM-GE653_S138_E1-50",-32.1963884336037,14.5719058409715
"27","SM-GE653_S139_E1-50",-33.6300462632484,-14.0691912103702
"28","SM-GE653_S140_E1-50",-36.6886143862554,-11.1681195549396
"29","SM-GE653_S141_E1-50",-34.4737205716326,-15.5853178988307
"30","SM-GE653_S142_E1-50",-30.4249943742393,-15.5733876518578
"31","SM-GE653_S143_E1-50",7.14104369285349,-14.9354777472768
"32","SM-GE653_S144_E1-50",-17.6094264580805,-16.6681117284642
"33","SM-GE653_S145_E1-50",-33.9407669620522,4.0793362184474
"34","SM-GE653_S146_E1-50",-30.7119588017833,13.1074637350852
"35","SM-GE653_S147_E1-50",-35.1834225414618,-11.2544725521729
"36","SM-GE653_S148_E1-50",-30.3030374170908,-6.85686572885795
"37","SM-GE653_S149_E1-50",-18.9416769738611,-21.2258398774306
"38","SM-GE653_S150_E1-50",-23.7261431822888,-26.5704741557998
"39","SM-GE653_S151_E1-50",-32.1940404987261,6.25232565096698
"40","SM-GE653_S152_E1-50",-32.9216696911758,-18.2369935125406
"41","SM-GE653_S154_E1-50",-33.2891731349909,7.97696712170268
"42","SM-GE653_S155_E1-50",-28.7362143655932,-12.1468530891048
"43","SM-GE653_S156_E1-50",-19.2954414572434,-19.9487879626727
"44","SM-GE653_S157_E1-50",-36.3498877170439,8.81438924865415
"45","SM-GE653_S158_E1-50",-18.5421033748902,-22.6666594808082
"46","SM-GE653_S159_E1-50",-19.1551999696398,-21.7351794329432
"47","SM-GE653_S160_E1-50",7.47877216757436,-21.7139238106649
"48","SM-GE653_S161_E1-50",16.0782765975388,0.473184869372848
"49","SM-GE653_S162_E1-50",8.84498023305714,33.7467005999282
"50","SM-GE653_S163_E1-50",-9.12826650517702,6.94308306601455
"51","SM-GE653_S164_E1-50",8.86552846502813,-18.1652138285859
"52","SM-GE653_S165_E1-50",17.8759208212309,-8.00156094339644
"53","SM-GE653_S166_E1-50",27.6909058763116,-1.66337730666305
"54","SM-GE653_S167_E1-50",23.8206441877649,-0.751169073809099
"55","SM-GE653_S168_E1-50",34.4666925432531,-1.83548243951188
"56","SM-GE653_S169_E1-50",-5.97128293501024,9.84005867805322
"57","SM-GE653_S171_E1-50",-23.0866597408221,20.7928388086962
"58","SM-GE653_S172_E1-50",10.3793402738997,23.8088821638706
"59","SM-GE653_S173_E1-50",4.12463057130198,12.275248467488
"60","SM-GE653_S174_E1-50",-3.60831602710583,27.8232828679254
"61","SM-GE653_S175_E1-50",6.35227364590571,28.6557934482033
"62","SM-GE653_S176_E1-50",10.7677297381129,19.671289278507
"63","SM-GE653_S178_E1-50",4.71640819802232,31.8717985391133
"64","SM-GE653_S179_E1-50",8.35903507763577,31.2169220086486
"65","SM-GE653_S180_E1-50",-5.30389057930945,20.1376624316395
"66","SM-GE653_S181_E1-50",28.6731139358936,-2.58432297555273
"67","SM-GE653_S182_E1-50",-0.175132826175075,12.7707438612788
"68","SM-GE653_S183_E1-50",1.66933958710924,32.006484205965
"69","SM-GE653_S184_E1-50",3.7435816255503,34.8886915540785
"70","SM-GE653_S185_E1-50",5.97456787062755,19.6296141329086
"71","SM-GE653_S187_E1-50",-6.43563561173597,15.1419577279612
"72","SM-GE653_S188_E1-50",10.7468195715093,20.4721767090205
"73","SM-GE653_S189_E1-50",8.72815945595756,23.503237825785
"74","SM-GE653_S190_E1-50",0.288774318201649,23.0559835498314
"75","SM-GE653_S191_E1-50",2.51539423038835,22.6093249339081
"76","SM-GE653_S192_E1-50",4.3467940030976,39.0080051412821
"77","SM-GE64R_S097_E1-50",28.8689030204712,-14.6240180850123
"78","SM-GE64R_S098_E1-50",11.813121296291,-26.6588369875295
"79","SM-GE64R_S099_E1-50",0.248057064234986,-4.38469517062783
